wvl_nm	Xsec_298K	a_T_
686	1.6e-19	1.47059e-22\r
688	1.2e-19	-1.17647e-21\r
690	1e-19	-1.61765e-21\r
692	7e-20	-1.02941e-21\r
694	5e-20	-7.35294e-22\r
696	4e-20	-5.88235e-22\r
698	4e-20	-5.88235e-22\r
700	3e-20	-4.41176e-22\r
702	2e-20	-2.94118e-22\r
704	0	0\r
706	0	0\r
708	0	0\r
710	0	0\r
712	0	0\r
714	0	0\r
716	0	0\r
718	0	0\r
720	0	0\r
722	0	0\r
724	0	0\r
726	0	0\r
728	0	0\r
730	0	0\r
732	0	0\r
734	0	0\r
736	0	0\r
738	0	0\r
740	0	0\r
742	0	0\r
744	0	0\r
746	0	0\r
748	0	0\r
750	0	0\r
752	0	0\r
754	0	0\r
756	0	0\r
758	0	0\r
760	0	0\r
762	0	0\r
764	0	0\r
766	0	0\r
768	0	0\r
770	0	0\r
772	0	0\r
774	0	0\r
776	0	0\r
778	0	0\r
780	0	0\r
782	0	0\r
784	0	0\r
786	0	0\r
788	0	0\r
790	0	0\r
792	0	0\r
794	0	0\r
796	0	0\r
798	0	0\r
800	0	0\r
802	0	0\r
804	0	0\r
806	0	0\r
808	0	0\r
810	0	0\r
812	0	0\r
814	0	0\r
816	0	0\r
818	0	0\r
820	0	0\r
822	0	0\r
824	0	0\r
826	0	0\r
828	0	0\r
830	0	0\r
832	0	0\r
834	0	0\r
836	0	0\r
838	0	0\r
840	0	0\r
842	0	0\r
844	0	0\r
846	0	0\r
848	0	0\r
850	0	0\r
852	0	0\r
854	0	0\r
856	0	0\r
858	0	0\r
860	0	0\r
862	0	0\r
864	0	0\r
866	0	0\r
868	0	0\r
870	0	0\r
872	0	0\r
874	0	0\r
876	0	0\r
878	0	0\r
880	0	0\r
882	0	0\r
884	0	0\r
886	0	0\r
888	0	0\r
890	0	0\r
892	0	0\r
894	0	0\r
896	0	0\r
898	0	0\r
900	0	0\r
902	0	0\r
904	0	0\r
906	0	0\r
908	0	0\r
910	0	0\r
912	0	0\r
914	0	0\r
916	0	0\r
918	0	0\r
920	0	0\r
922	0	0\r
924	0	0\r
926	0	0\r
928	0	0\r
930	0	0\r
932	0	0\r
934	0	0\r
936	0	0\r
938	0	0\r
940	0	0\r
942	0	0\r
944	0	0\r
946	0	0\r
948	0	0\r
950	0	0\r
952	0	0\r
954	0	0\r
956	0	0\r
958	0	0\r
960	0	0\r
962	0	0\r
964	0	0\r
966	0	0\r
968	0	0\r
970	0	0\r
972	0	0\r
974	0	0\r
976	0	0\r
978	0	0\r
980	0	0\r
982	0	0\r
984	0	0\r
986	0	0\r
988	0	0\r
990	0	0\r
992	0	0\r
994	0	0\r
996	0	0\r
998	0	0\r
1000	0	0\r
1002	0	0\r
1004	0	0\r
1006	0	0\r
1008	0	0\r
1010	0	0\r
1012	0	0\r
1014	0	0\r
1016	0	0\r
1018	0	0\r
1020	0	0\r
1022	0	0\r
1024	0	0\r
1026	0	0\r
1028	0	0\r
1030	0	0\r
1032	0	0\r
1034	0	0\r
1036	0	0\r
1038	0	0\r
1040	0	0\r
1042	0	0\r
1044	0	0\r
1046	0	0\r
1048	0	0\r
1050	0	0\r
1052	0	0\r
1054	0	0\r
1056	0	0\r
1058	0	0\r
1060	0	0\r
1062	0	0\r
1064	0	0\r
1066	0	0\r
1068	0	0\r
1070	0	0\r
1072	0	0\r
1074	0	0\r
1076	0	0\r
1078	0	0\r
1080	0	0\r
1082	0	0\r
1084	0	0\r
1086	0	0\r
1088	0	0\r
1090	0	0\r
1092	0	0\r
1094	0	0\r
1096	0	0\r
1098	0	0\r
1100	0	0\r
