Wvl_nm	Ref_228K	a0	a1
612	4.5963e-21	-0.038994	0\r
614	4.42056e-21	-0.041614	0\r
616	4.26388e-21	-0.040685	0\r
618	4.12585e-21	-0.041686	0\r
620	4.0133e-21	-0.040207	0\r
622	3.91776e-21	-0.039629	0\r
624	3.83017e-21	-0.038641	0\r
626	3.73463e-21	-0.041141	0\r
628	3.63242e-21	-0.047011	0\r
630	3.52459e-21	-0.047081	0\r
632	3.41795e-21	-0.052953	0\r
634	3.30565e-21	-0.058021	0\r
636	3.18432e-21	-0.075379	0\r
638	3.06066e-21	-0.077311	0\r
640	2.93439e-21	-0.081405	0\r
642	2.81597e-21	-0.085682	0\r
644	2.70534e-21	-0.083665	0\r
646	2.61191e-21	-0.084034	0\r
648	2.52178e-21	-0.08373	0\r
650	2.44075e-21	-0.078588	0\r
652	2.36247e-21	-0.082661	0\r
654	2.28164e-21	-0.080236	0\r
656	2.20133e-21	-0.083101	0\r
658	2.12293e-21	-0.087127	0\r
660	2.04729e-21	-0.084699	0\r
662	1.97735e-21	-0.094059	0\r
664	1.90186e-21	-0.089938	0\r
666	1.81807e-21	-0.09764	0\r
668	1.72678e-21	-0.10773	0\r
670	1.65507e-21	-0.11079	0\r
672	1.57702e-21	-0.11993	0\r
674	1.50403e-21	-0.13466	0\r
676	1.43751e-21	-0.13112	0\r
678	1.37509e-21	-0.15166	0\r
680	1.32095e-21	-0.1512	0\r
682	1.28156e-21	-0.15987	0\r
684	1.24492e-21	-0.16853	0\r
686	1.20191e-21	-0.16677	0\r
688	1.14757e-21	-0.17295	0\r
690	1.09167e-21	-0.19075	0\r
692	1.03851e-21	-0.19375	0\r
694	9.87592e-22	-0.21927	0\r
696	9.37785e-22	-0.22745	0\r
698	8.90509e-22	-0.2154	0\r
700	8.48272e-22	-0.22446	0\r
702	8.11569e-22	-0.21942	0\r
704	7.80945e-22	-0.21921	0\r
706	7.55533e-22	-0.22556	0\r
708	7.32005e-22	-0.19773	0\r
710	7.10601e-22	-0.19766	0\r
712	6.94168e-22	-0.17568	0\r
714	6.82085e-22	-0.17405	0\r
716	6.66873e-22	-0.15241	0\r
718	6.39053e-22	-0.14151	0\r
720	6.01398e-22	-0.17595	0\r
722	5.64961e-22	-0.19777	0\r
724	5.34973e-22	-0.20855	0\r
726	5.0932e-22	-0.20835	0\r
728	4.79518e-22	-0.21756	0\r
730	4.56635e-22	-0.22669	0\r
732	4.36986e-22	-0.21545	0\r
734	4.23549e-22	-0.20164	0\r
736	4.14979e-22	-0.21118	0\r
738	4.07909e-22	-0.20307	0\r
740	4.04302e-22	-0.18741	0\r
742	4.05947e-22	-0.15545	0\r
744	4.11503e-22	-0.13805	0\r
746	4.16481e-22	-0.11374	0\r
748	4.10484e-22	-0.1055	0\r
750	3.86015e-22	-0.12098	0\r
752	3.50067e-22	-0.18308	0\r
754	3.14704e-22	-0.23385	0\r
756	2.91506e-22	-0.25405	0\r
758	2.75825e-22	-0.25505	0\r
760	2.64989e-22	-0.26381	0\r
762	2.6184e-22	-0.25665	0\r
764	2.5289e-22	-0.22888	0\r
766	2.4751e-22	-0.23825	0\r
768	2.4834e-22	-0.22456	0\r
770	2.5266e-22	-0.18928	0\r
772	2.6258e-22	-0.16617	0\r
774	2.8323e-22	-0.1253	0\r
776	3.0898e-22	-0.080696	0\r
778	3.2956e-22	-0.042269	0\r
780	3.2968e-22	-0.045365	0\r
782	3.0674e-22	-0.064953	0\r
784	2.7392e-22	-0.11854	0\r
786	2.4138e-22	-0.18011	0\r
788	2.1896e-22	-0.20258	0\r
790	2.0201e-22	-0.18545	0\r
792	1.8607e-22	-0.22144	0\r
794	1.7098e-22	-0.24298	0\r
796	1.6139e-22	-0.24038	0\r
798	1.5509e-22	-0.23588	0\r
800	1.4965e-22	-0.25879	0\r
802	1.4688e-22	-0.25086	0\r
804	1.4637e-22	-0.25484	0\r
806	1.5283e-22	-0.20037	0\r
808	1.6806e-22	-0.13373	0\r
810	1.8568e-22	-0.091159	0\r
812	2.0567e-22	-0.056446	0\r
814	2.2376e-22	-0.024288	0\r
816	2.3337e-22	-0.0011568	0\r
818	2.2938e-22	-0.006376	0\r
820	2.1017e-22	-0.05268	0\r
822	1.8162e-22	-0.11105	0\r
824	1.5104e-22	-0.23572	0\r
826	1.2605e-22	-0.28515	0\r
828	1.0598e-22	-0.31962	0\r
830	9.1097e-23	-0.42694	0\r
832	8.15e-23	-0.42694	0\r
834	7.5892e-23	-0.39005	0\r
836	7.2641e-23	-0.41242	0\r
838	7.2026e-23	-0.38149	0\r
840	7.2871e-23	-0.35999	0\r
842	7.6657e-23	-0.27454	0\r
844	8.1558e-23	-0.26539	0\r
846	8.962e-23	-0.2191	0\r
848	1.0352e-22	-0.12488	0\r
850	1.2416e-22	-0.052424	0\r
852	1.503e-22	0.024391	0\r
854	1.5692e-22	0.032411	0\r
856	1.4511e-22	-0.044943	0\r
858	1.3065e-22	-0.10072	0\r
860	1.1523e-22	-0.11714	0\r
862	9.418e-23	-0.2597	0\r
864	7.5266e-23	-0.39616	0\r
866	6.235e-23	-0.45816	0\r
868	5.2552e-23	-0.51025	0\r
870	4.4569e-23	-0.57514	0\r
872	3.9604e-23	-0.63407	0\r
874	3.6539e-23	-0.63274	0\r
876	3.5749e-23	-0.5504	0\r
878	3.623e-23	-0.50565	0\r
880	3.7867e-23	-0.44612	0\r
882	4.1377e-23	-0.32799	0\r
884	4.4756e-23	-0.31651	0\r
886	5.04e-23	-0.18371	0\r
888	5.2369e-23	-0.25753	0\r
890	5.3413e-23	-0.24471	0\r
892	4.9411e-23	-0.30302	0\r
894	5.4773e-23	-0.24162	0\r
896	6.5806e-23	-0.18371	0\r
898	6.8598e-23	-0.25753	0\r
900	6.44e-23	-0.16854	0\r
902	5.6585e-23	-0.24576	0\r
904	4.8221e-23	-0.27883	0\r
906	3.8967e-23	-0.49102	0\r
908	3.0816e-23	-0.76704	0\r
910	2.5038e-23	-0.85829	0\r
912	2.0526e-23	-0.10346	0\r
914	1.7871e-23	-0.99367	0\r
916	1.6061e-23	-0.89852	0\r
918	1.4594e-23	-1.0768	0\r
920	1.4918e-23	-0.57673	0\r
922	1.3453e-23	-0.9569	0\r
924	1.3554e-23	-0.80015	0\r
926	1.4178e-23	-0.51981	0\r
928	1.5145e-23	-0.46725	0\r
930	1.5514e-23	-0.66997	0\r
932	1.5379e-23	-0.68195	0\r
934	1.3945e-23	-0.68195	0\r
936	1.6998e-23	-0.56422	0\r
938	2.3622e-23	-0.19633	0\r
940	3.1864e-23	-0.050515	0\r
942	4.1432e-23	0.04136	0\r
944	4.6913e-23	0.09342	0\r
946	4.2849e-23	0.03489	0\r
948	3.3375e-23	-0.043137	0\r
950	2.2522e-23	-0.4147	0\r
952	1.7944e-23	-0.49743	0\r
954	1.3e-23	-0.74405	0\r
956	1.2891e-23	-0.50523	0\r
958	1.0888e-23	-0.74651	0\r
960	8.965e-24	-0.6022	0\r
962	7.0731e-24	-1.0082	0\r
964	7.0829e-24	-0.71301	0\r
966	6.1242e-24	-0.8351	0\r
968	4.6446e-24	-0.82164	0\r
970	2.7059e-24	-2.3636	0\r
972	2.1206e-24	-2.943	0\r
974	1.7698e-24	-3.2206	0\r
976	1.1182e-24	-5.4586	0\r
978	1.5399e-24	-3.3996	0\r
980	1.7446e-24	-2.0702	0\r
982	1.9815e-24	-3.0226	0\r
984	2.6967e-24	-2.5148	0\r
986	5.0556e-24	-1.5565	0\r
988	1.053e-23	-0.073957	0\r
990	1.9734e-23	-0.062276	0\r
992	3.3886e-23	0.48641	0\r
994	2.6317e-23	0.27666	0\r
996	1.7515e-23	-0.22433	0\r
998	9.5448e-24	-0.7765	0\r
