XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID,DIFF_MAG,GAIA_RA,GAIA_DEC,LAST_IDX
1421,14,1421.56774902344,13.7441511154175,0.835700988769531,0.819764196872711,0.0103355022147298,1363.1005859375,2513.28637695312,2454.8876953125,1959.01477050781,1263.76452636719,153.739379882812,7.48729515075684,154.341003417969,4.82773399353027,20246.51171875,30116.3125,31832.259765625,0.00703193293884397,0.00576457241550088,0.00560693070292473,13.8895769098832,13.9647507693063,13.9714962276704,0.00763667933642864,0.00626032566651702,0.00608912669122219,746586244,1421.59167480469,13.7311210632324,33681.59375,13.9047761983872,0.00591809256002307,14.3781318664551,183.505065917969,257.164059672017,65.4455896517153,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,103,20,NaN,2460860.49961283,24,-0.00241959642644822,257.164031982422,65.4456024169922,1
1720,74,1720.27917480469,74.236946105957,0.879717886447906,0.826407849788666,0.0359411537647247,2082.3486328125,3796.52465820312,3677.41723632812,2904.01806640625,1858.56860351562,153.035552978516,7.91320371627808,153.035552978516,2.37382316589355,29792.0625,45460.66015625,48085.17578125,0.00579416425898671,0.00469039101153612,0.00456057768315077,13.4702010082911,13.5176659121928,13.5236368837481,0.00629246234893799,0.005093764513731,0.00495278742164373,209715204,1720.28295898438,74.2126159667969,49760.40234375,13.4810472555161,0.00486880540847778,28.5101699829102,223.052658081055,257.419861099429,65.4535295879566,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,32871,20,NaN,2460860.49961283,24,-0.00634749563075407,257.419769287109,65.4535598754883,2
1668,80,1667.93444824219,80.278938293457,0.871306180953979,0.827629148960114,0.0262492895126343,556.854736328125,1061.61694335938,1036.14074707031,818.636901855469,522.041564941406,153.035552978516,7.91320371627808,153.302032470703,2.61263585090637,8371.7412109375,12781.29296875,13438.2548828125,0.0109337484464049,0.00884766224771738,0.00862857047468424,14.8484129328418,14.8953182768561,14.9078077130174,0.0118740508332849,0.0096085611730814,0.00937062781304121,201326592,1667.951171875,80.2548065185547,13987.943359375,14.8588729925156,0.00918492674827576,5.8080358505249,118.237197875977,257.376816534825,65.4579363591992,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,103,20,NaN,2460860.49961283,24,-0.00969461990605758,257.376770019531,65.4579086303711,3
862,14,862.087829589844,14.4668169021606,0.816365957260132,0.791559755802155,0.00900014583021402,2033.06225585938,3782.701171875,3651.66040039062,2863.53930664062,1826.2783203125,154.175735473633,7.3979959487915,155.452209472656,5.10733366012573,29605.755859375,43082.796875,45476.03125,0.0058143762871623,0.00481925019994378,0.0046906522475183,13.4770120506291,13.5759955338902,13.5842085130769,0.0063144126906991,0.00523370550945401,0.00509404856711626,746586116,862.124938964844,14.4515924453735,49090.21875,13.4957691259384,0.00490190694108605,32.5127944946289,221.546432495117,256.696759846882,65.4691522534357,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,8263,20,NaN,2460860.49961283,24,-0.00740128484893767,256.696899414062,65.4692916870117,6
1430,100,1430.30187988281,100.18586730957,0.828807950019836,0.823024809360504,0.0069703315384686,2241.1884765625,3971.74560546875,3806.47216796875,2979.92724609375,1902.56958007812,153.769836425781,7.5132417678833,154.721115112305,2.5577244758606,30277.140625,45129.734375,47746.08203125,0.00574763910844922,0.0047076060436666,0.0045767892152071,13.452665289405,13.5255983138897,13.5313205541044,0.00624193623661995,0.00511246034875512,0.00497039314359426,134217732,1430.32653808594,100.170837402344,50553.77734375,13.4638725347519,0.00483042420819402,21.1967945098877,224.824966430664,257.18041641308,65.4751881226964,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,103,20,NaN,2460860.49961283,24,-0.00337765015733065,257.180450439453,65.4751892089844,7
1494,109,1494.52856445312,108.892448425293,0.850773692131042,0.838015854358673,0.0130690289661288,389.363250732422,698.490661621094,678.6201171875,540.369934082031,348.405029296875,153.621948242188,7.57397365570068,153.84228515625,2.697918176651,5489.8876953125,8354.712890625,8824.1162109375,0.0135053535923362,0.0109451906755567,0.010649848729372,15.3065437486519,15.356926417318,15.3644868427867,0.0146668143570423,0.0118864774703979,0.0115657355636358,134217732,1494.54760742188,108.879058837891,9208.1201171875,15.3128295965195,0.0113219926133752,2.60181212425232,95.9195098876953,257.235007334772,65.4754358740858,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,103,20,NaN,2460860.49961283,24,-0.00625857025722555,257.234985351562,65.4754333496094,8
443,13,443.313934326172,13.4602508544922,0.811688303947449,0.780109405517578,0.00896049290895462,2264.76342773438,4074.94775390625,3924.0126953125,3079.5029296875,1964.72265625,154.109130859375,7.46751403808594,154.910858154297,16.2292213439941,32339.37109375,46800.796875,49218.1796875,0.0055833593942225,0.00463545136153698,0.00451955990865827,13.3811235097344,13.4861221376875,13.4983510350852,0.00606352835893631,0.00503410026431084,0.00490824226289988,209715200,443.354553222656,13.4532318115234,53659.08203125,13.3991495199204,0.00468854838982224,41.347599029541,231.628189086914,256.346423237292,65.4853317424238,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,103,20,NaN,2460860.49961283,24,-0.0111110805118957,256.346343994141,65.4852981567383,10
422,33,422.576843261719,32.5725326538086,0.80073881149292,0.800757169723511,-0.00931726116687059,717.103332519531,1370.89196777344,1348.74279785156,1081.94128417969,701.111755371094,154.109481811523,7.41513156890869,154.975860595703,12.6416072845459,11404.4462890625,16573.19140625,17531.16796875,0.00942941289395094,0.00780514162033796,0.00758691225200891,14.5127669167281,14.6132398885581,14.619137773677,0.0102403424680233,0.0084763839840889,0.0082393866032362,201326720,422.614685058594,32.5690956115723,18918.08984375,14.5310636587143,0.00789725687354803,12.377049446106,137.516098022461,256.33085559736,65.492767744118,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,103,20,NaN,2460860.49961283,24,-0.00388148187006751,256.330902099609,65.4926834106445,11
603,76,603.219055175781,76.2990036010742,0.814378499984741,0.785959005355835,0.00698637682944536,849.684936523438,1493.69201660156,1423.2421875,1105.68969726562,702.197875976562,154.161575317383,7.45883655548096,154.908142089844,3.04583191871643,11411.779296875,16593.994140625,17453.01171875,0.0093648275360465,0.00776507938280702,0.00757146999239922,14.5120690175779,14.6118779228504,14.6239889499304,0.0101702027022839,0.00843287631869316,0.0082226162776351,201326596,603.255798339844,76.2857666015625,18980.384765625,14.5274950094223,0.00788429100066423,12.955885887146,137.742248535156,256.486202680885,65.5009289452517,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,103,20,NaN,2460860.49961283,24,-0.00524816872702376,256.486236572266,65.5009155273438,14
1427,239,1426.89074707031,239.399536132812,0.852566182613373,0.837047100067139,0.0121589647606015,8261.626953125,16468.021484375,16210.0869140625,12880.9287109375,8244.9208984375,154.296493530273,7.63083171844482,159.048217773438,3.5979106426239,130965.703125,197845.90625,208717.171875,0.00276339310221374,0.00224828138016164,0.00218894262798131,11.8625584881698,11.920937586669,11.9297694506306,0.00300104497000575,0.00244163349270821,0.00237719179131091,134217732,1426.91174316406,239.382797241211,217806.765625,11.8780790395737,0.00232702866196632,68.887809753418,466.689544677734,257.192207098267,65.5236109266557,-0.573212468714095,-0.0669096464159864,-0.00540821419661341,71,20,NaN,2460860.49961283,24,-0.000596021290825082,257.192199707031,65.5234985351562,18
