FileIndex,Filename,Timestamp,Success,TotalStars,ProcessingTime_min
1,LAST.01.09.01_20250628.184459.657_clear_1678c.mat,20250628184459657,0,0,1.38272526666667
2,LAST.01.09.01_20250629.184813.610_clear_1678c.mat,20250629184813610,0,0,1.32396188333333
3,LAST.01.09.01_20250630.184520.118_clear_1678c.mat,20250630184520118,0,0,1.37503665
4,LAST.01.09.01_20250702.194657.538_clear_1678c.mat,20250702194657538,0,0,1.3850637
5,LAST.01.09.01_20250703.235606.481_clear_1678c.mat,20250703235606481,0,0,1.31697036666667
