XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID,DIFF_MAG,GAIA_RA,GAIA_DEC,LAST_IDX
1229,37,1229.08801269531,36.9761161804199,0.67682558298111,0.726217091083527,-0.00541429873555899,772.161376953125,1269.80554199219,1165.34509277344,862.335876464844,527.700500488281,131.040603637695,6.1663293838501,131.126556396484,2.49244666099548,8585.6572265625,11419.7275390625,11801.751953125,0.0107961846515536,0.00936030969023705,0.00920748524367809,15.0828100158587,15.0819243322846,15.0859337180831,0.0117246564477682,0.0101652964949608,0.00999932922422886,201326720,1229.08654785156,36.9791450500488,11818.015625,15.0797088621386,0.00999242253601551,0.376698285341263,108.682350158691,254.240126269938,64.5091312271713,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,-0.00586761555500814,254.240127563477,64.5091552734375,3
757,38,756.914367675781,37.9907302856445,0.690029561519623,0.755324065685272,-0.00872447993606329,655.297424316406,1103.67504882812,1020.16156005859,761.191040039062,468.353973388672,130.823089599609,6.08545875549316,130.901779174805,2.4533793926239,7431.3974609375,10057,10446.51171875,0.0116048771888018,0.00997460540384054,0.00978677161037922,15.2395676509197,15.2198925602808,15.2183716826728,0.0126028964295983,0.0108324214816093,0.0106284338980913,201326596,756.915466308594,37.9887542724609,10179.7958984375,15.2417228697069,0.0107668852433562,1.02090358734131,100.864822387695,253.858090834039,64.5200326719499,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,-0.0107419254157466,253.85807800293,64.5200653076172,7
278,39,278.074127197266,38.7590599060059,0.695001721382141,0.786671936511993,-0.00470649637281895,1319.06860351562,2291.07568359375,2146.04370117188,1617.07556152344,998.946838378906,130.918701171875,6.11975336074829,131.276977539062,2.16333675384521,15741.80859375,21549.73828125,22332.984375,0.00797144882380962,0.00681280763819814,0.00669224932789803,14.4246073218873,14.3924586938004,14.393433024719,0.00865699350833893,0.00739870918914676,0.00726778293028474,201326596,278.076171875,38.7545204162598,21436.62890625,14.4331787107714,0.0074184569530189,7.92566537857056,146.391632080078,253.470313237783,64.5299879036137,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,-0.00224072356671993,253.470336914062,64.5299835205078,9
1110,112,1109.93872070312,111.746139526367,0.683601140975952,0.726482033729553,-0.00945016276091337,646.719299316406,1066.27136230469,984.183471679688,733.694458007812,452.099456787109,130.961898803711,5.94298219680786,131.229125976562,3.43431925773621,7166.9482421875,9564.0703125,9930.087890625,0.0118219722062349,0.010231664404273,0.0100410990417004,15.2789082034838,15.2744567837843,15.2734171900088,0.0128386616706848,0.0111115872859955,0.0109046334400773,671088644,1109.93811035156,111.747680664062,9870.7333984375,15.2751968382128,0.0109341694042087,0.393672347068787,99.3216705322266,254.147721700943,64.5379198377831,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,-0.0216504053319019,254.147735595703,64.5378875732422,11
469,76,469.243347167969,76.1272048950195,0.686583042144775,0.768388330936432,0.00169799360446632,516.286926269531,910.195922851562,852.800720214844,642.490966796875,397.380432128906,130.855545043945,6.0436372756958,131.32014465332,2.47267818450928,6255.0244140625,8482.57421875,8824.029296875,0.0126502076163888,0.0108615709468722,0.0106491986662149,15.4266713443403,15.4047445107039,15.4016325647783,0.0137381255626678,0.0117956660687923,0.0115650296211243,134217732,469.2451171875,76.1221160888672,8544.6533203125,15.4318340299853,0.0117526585236192,1.66083633899689,92.4046249389648,253.626922697975,64.5392601814003,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,-0.0142016456375233,253.626968383789,64.5392608642578,12
1358,147,1358.03002929688,146.653106689453,0.67224383354187,0.713830947875977,-0.00420469557866454,871.002624511719,1467.66333007812,1357.15698242188,1008.71966552734,616.929809570312,131.036804199219,5.86257457733154,131.041656494141,2.3062436580658,9976.748046875,13091.77734375,13490.65625,0.0100143142044544,0.00874155852943659,0.00861130654811859,14.9197713723406,14.9335671637346,14.9407172352596,0.0108755454421043,0.00949333235621452,0.00935187935829163,134217732,1358.02526855469,146.65657043457,13665.38671875,14.9220159528978,0.0092920595780015,0.557781517505646,116.873977661133,254.350531448618,64.5442584450007,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,0.00032161950133524,254.350555419922,64.5442657470703,14
1511,170,1511.42004394531,169.840774536133,0.683610200881958,0.728587210178375,-0.00871799793094397,436.029968261719,756.509094238281,709.0625,537.179565429688,334.687103271484,131.053268432617,5.96918773651123,131.517242431641,2.48102712631226,5291.08349609375,7082.134765625,7360.63671875,0.013755620457232,0.0118879387155175,0.0116606783121824,15.6083823186838,15.600653208012,15.5985114524683,0.0149386040866375,0.012910301797092,0.012663496658206,134217728,1511.41528320312,169.843597412109,7286.8974609375,15.6047142027147,0.0127273006364703,0.630298674106598,85.3283843994141,254.476064035906,64.5485966922016,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,-0.00284280273842097,254.476135253906,64.5484466552734,16
85,83,85.4446563720703,83.2386474609375,0.70253050327301,0.794649124145508,0.0012878910638392,753.779052734375,1492.90783691406,1443.68322753906,1112.0224609375,692.770874023438,131.045700073242,6.21478414535522,131.488067626953,2.58849549293518,11030.8291015625,15163.201171875,15636.646484375,0.00952418427914381,0.00812270119786263,0.00799873284995556,14.8107234954928,14.7740864495021,14.7804408834425,0.0103432638570666,0.00882125366479158,0.00868662353605032,134217732,85.4460525512695,83.2346267700195,14910.5693359375,14.827335166765,0.00889555830508471,6.90833902359009,122.083404541016,253.316106309345,64.5490983276462,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,0.0034388539294045,253.31608581543,64.5491714477539,17
293,170,293.122283935547,170.06266784668,0.69324141740799,0.764733135700226,-0.00254321098327637,1557.35083007812,2694.20288085938,2507.05786132812,1877.34606933594,1157.93798828125,130.968795776367,6.09006690979004,131.245635986328,2.69671511650085,18298.46484375,24835.919921875,25788.875,0.00739399157464504,0.00634634168818593,0.0062279487028718,14.2612072517603,14.2383630673603,14.2372189376493,0.00802987441420555,0.00689212698489428,0.00676355231553316,134217732,293.123291015625,170.060699462891,24988.4140625,14.2667243955858,0.00687089608982205,4.74065399169922,158.057983398438,253.488391384402,64.5754496531148,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,-0.0105052689072946,253.488342285156,64.5754470825195,21
125,171,124.813423156738,170.932876586914,0.709108293056488,0.792040288448334,-0.0017169676721096,1789.26000976562,3154.623046875,2956.87817382812,2231.85473632812,1382.419921875,131.081039428711,6.16937208175659,131.636383056641,2.35705900192261,21668.51953125,29902.73828125,31031.544921875,0.00679424265399575,0.00578342191874981,0.00567723903805017,14.077670793057,14.0367862957169,14.0362914367033,0.00737854745239019,0.00628079613670707,0.00616548163816333,134217860,124.816345214844,170.930206298828,29416.033203125,14.0896099088915,0.00633261865004897,13.0847358703613,171.493041992188,253.351813697575,64.578933282697,-0.348556037165352,-0.0397362357517252,-0.00472987152414639,103,20,NaN,2460855.28356149,10,0.00620550018113018,253.35188293457,64.5789413452148,23
