XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID
132,16,131.918640136719,16.39821434021,1.19736456871033,0.933014929294586,-0.0574182346463203,89.2394790649414,209.304321289062,223.027679443359,192.622299194336,129.289627075195,189.30354309082,12.6767578125,188.793609619141,4.59933090209961,2149.08422851562,3979.9404296875,4380.34765625,0.021677054464817,0.0158932544291019,0.015145787037909,15.6042982350555,15.6443299505201,15.6299329094045,0.0235412809997797,0.0172600746154785,0.0164483245462179,142606340,131.876174926758,16.3643665313721,4312.82666015625,15.6273714107928,0.0165609866380692,1.26199114322662,65.5758056640625,336.662936331215,75.9502411319733,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
173,54,173.334625244141,54.363094329834,1.19655656814575,0.876674711704254,-0.0478779599070549,69.5584564208984,179.471130371094,195.463134765625,170.793106079102,115.516235351562,189.405975341797,12.5876932144165,191.349975585938,85.998420715332,1888.3681640625,3408.76245117188,3601.94262695312,0.0510250180959702,0.0304933711886406,0.0291147846728563,15.7447150830485,15.8125295117775,15.8423623565599,0.0554131679236889,0.0331158004701138,0.0316186547279358,134218764,173.322509765625,54.3279571533203,3835.80249023438,15.7546354336199,0.01756358332932,1.05874073505402,61.8324851989746,336.714687718886,75.9654301798409,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,19,NaN,2460112.43733135,1
165,67,164.558578491211,66.7906723022461,1.1922173500061,0.894781827926636,-0.0443501137197018,643.777954101562,1342.26574707031,1383.0888671875,1174.87231445312,791.789611816406,189.385986328125,12.6050720214844,191.140014648438,15.6295938491821,13231.7373046875,24156.32421875,26150.61328125,0.00877332035452127,0.00646650278940797,0.00621266756206751,13.6308898813303,13.6864443217461,13.6899997201343,0.00952782575041056,0.00702262204140425,0.00674695707857609,134217728,164.52082824707,66.7532043457031,26656.359375,13.6497751278338,0.00665322272107005,6.39560317993164,163.22917175293,336.699678781083,75.9693168985828,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
567,25,566.648010253906,24.7702903747559,1.27703619003296,0.89823967218399,-0.0225562676787376,1747.02563476562,3732.638671875,3887.37524414062,3333.46044921875,2252.75708007812,189.543304443359,11.338568687439,191.406585693359,3.52502918243408,34426.8515625,65505.375,71074.390625,0.00539050856605172,0.00390753336250782,0.00375129655003548,12.5926887942564,12.6033291052121,12.6044215552766,0.00585409207269549,0.00424358109012246,0.00407390808686614,142606340,566.650329589844,24.7447605133057,70851.96875,12.5883966488299,0.0040802676230669,17.149995803833,266.159027099609,337.28275849075,75.9735036359006,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
22,103,21.6656513214111,103.194961547852,1.20051753520966,0.925867974758148,-0.0407553426921368,131.525543212891,286.276275634766,298.257690429688,254.038604736328,169.606079101562,189.221267700195,12.617938041687,188.565368652344,3.56195902824402,2843.0966796875,5261.037109375,5720.6630859375,0.0187962427735329,0.0138034410774708,0.0132360346615314,15.3004528579797,15.3413429963414,15.3400884567194,0.0204127188771963,0.0149905374273658,0.0143743334338069,142606372,21.6379814147949,103.150619506836,5693.96826171875,15.3257385296283,0.0144079765304923,1.21176064014435,75.3749160766602,336.488245663744,75.9749314054064,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
729,14,729.239624023438,14.4046630859375,1.30663442611694,0.906496465206146,-0.0290207024663687,116.643981933594,314.134246826172,348.925048828125,310.112548828125,209.943069458008,189.507125854492,11.2440872192383,189.660186767578,6.74034452438354,3139.32080078125,6070.26904296875,6599.7978515625,0.0179763771593571,0.0128829460591078,0.0123516330495477,15.1928427084318,15.1860015688679,15.1848778088473,0.0195223446935415,0.0139908790588379,0.013413873501122,142606336,729.273010253906,14.3752956390381,6484.2763671875,15.1846223873553,0.0134981824085116,1.89285111427307,80.4552764892578,337.517439507578,75.9770889773866,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
668,28,667.812377929688,28.1897277832031,1.30824828147888,0.887022852897644,-0.00459581194445491,72.5507965087891,165.787353515625,175.306304931641,151.66764831543,102.914421081543,189.549621582031,11.2481498718262,189.319488525391,3.17046546936035,1538.74951171875,2955.13037109375,3279.72509765625,0.0255758408457041,0.018426762893796,0.0174882262945175,15.9670117838133,15.9675797107542,15.9441107085764,0.0277753639966249,0.0200114641338587,0.0189922135323286,134218764,667.831298828125,28.1624183654785,3177.865234375,15.9589372677264,0.019298754632473,1.10736203193665,56.2730598449707,337.426999260171,75.9791926104911,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
382,71,381.585784912109,70.9577560424805,1.22761499881744,0.90222579240799,-0.040136806666851,204.99951171875,442.016845703125,458.368804931641,390.852935791016,264.181457519531,189.323059082031,11.7234840393066,190.943572998047,7.56553888320923,4148.97314453125,7707.72607421875,8275.88671875,0.0156316515058279,0.011432558298111,0.0110303526744246,14.8900804402679,14.926705750649,14.939168058331,0.0169759728014469,0.0124157583341002,0.0119789633899927,134217728,381.578002929688,70.9268798828125,8452.8525390625,14.8967681927142,0.0118203172460198,1.81486964225769,91.8757095336914,337.00932151067,75.9810807593828,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
260,102,259.66162109375,102.41259765625,1.21469378471375,0.888009488582611,-0.0255938041955233,1075.66223144531,2409.49584960938,2536.498046875,2179.70874023438,1465.57141113281,189.430404663086,11.997218132019,191.103698730469,7.63776206970215,23966.82421875,43926.8984375,47369.80078125,0.00646729487925768,0.0047744452022016,0.00459744408726692,12.985905834246,13.0371950980014,13.0449505214585,0.0070234821178019,0.00518504763022065,0.00499282404780388,134217732,259.646514892578,102.378143310547,48327.3046875,13.0037942928729,0.00494068767875433,11.0027484893799,219.80744934082,336.828806628893,75.9862558057352,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
188,118,187.663558959961,118.418670654297,1.21564602851868,0.916044175624847,-0.0395965874195099,158.378311157227,363.220550537109,384.741882324219,333.037811279297,225.823883056641,189.498260498047,12.1340560913086,189.493118286133,3.42327857017517,3640.93701171875,6764.49755859375,7361.9658203125,0.0165993552654982,0.0121690900996327,0.0116640264168382,15.0318990665414,15.0684325638028,15.0662199055616,0.0180268995463848,0.0132156321778893,0.0126671325415373,134217740,187.651473999023,118.392631530762,7357.5849609375,15.0474382442889,0.012671266682446,1.65229964256287,85.7057189941406,336.722655086426,75.9883596124205,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
474,83,473.928436279297,83.4087524414062,1.26139497756958,0.920138239860535,-0.0422774143517017,206.389053344727,509.928771972656,551.247863769531,482.659332275391,326.7763671875,189.370452880859,11.6042098999023,190.215469360352,3.94712781906128,5011.38037109375,9521.2900390625,10349.162109375,0.0141480090096593,0.0102566881105304,0.00983725860714912,14.685038600503,14.6972819492195,14.6964414329743,0.0153647381812334,0.0111387632787228,0.0106832627207041,134217732,473.922302246094,83.383903503418,10262.4169921875,14.6861530346331,0.0107263112440705,2.73411631584167,101.246360778809,337.139211418107,75.9896724996579,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
158,128,157.723724365234,127.802505493164,1.19132816791534,0.893354058265686,-0.0401393957436085,864.575073242188,1844.54541015625,1902.05261230469,1605.56958007812,1072.42309570312,189.444641113281,12.1273555755615,190.606964111328,3.37000107765198,17688.0625,32206.427734375,34766.13671875,0.00752141000702977,0.00557320844382048,0.00536404829472303,13.3157313988785,13.374165056143,13.3808133324181,0.00816825125366449,0.00605250429362059,0.00582535658031702,134217732,157.690170288086,127.766593933105,35560.31640625,13.3368621868548,0.00575998099520802,8.1074333190918,188.542282104492,336.677936253621,75.9901613876509,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
