Field_Number,Success,Num_Calibrators,Time_Seconds,Norm_,Tau_aod500,Pwv_cm,Alpha,Dobson_units
1,1,202,15.638934,0.300031983309013,0.0806253223308246,1.47689483490359,NaN,NaN
2,1,181,13.531816,0.302387069892656,0.0857916080431082,0.784067960273658,NaN,NaN
3,1,179,13.433942,0.310789752590117,0.0814324348178726,1.35846718048986,NaN,NaN
4,1,176,13.284703,0.307619693769108,0.0785705346934765,1.78694286692164,NaN,NaN
5,1,166,13.424708,0.300357985300736,0.082633989588882,1.18966830110225,NaN,NaN
6,1,192,13.558945,0.293782642933554,0.0818765775992588,1.30406568883454,NaN,NaN
7,1,231,14.509825,0.293733882995336,0.07936920325139,1.68939898558985,NaN,NaN
8,1,274,14.768296,0.298794655724489,0.0783041688563449,1.91676075793134,NaN,NaN
9,1,235,14.184435,0.307996073998341,0.0863794150431671,0.687464988344126,NaN,NaN
10,1,194,13.494961,0.306766141268705,0.0855787159222898,0.793099187565491,NaN,NaN
11,1,187,13.380107,0.297165980009461,0.087016925191898,0.632961632825952,NaN,NaN
12,1,200,13.573561,0.294080455041716,0.085835085019779,0.759760637448737,NaN,NaN
13,1,248,14.593124,0.289742589930259,0.0827142507350178,1.18915101784913,NaN,NaN
14,1,245,15.072823,0.29393811781829,0.080915278989292,1.46837597026516,NaN,NaN
15,1,236,14.340983,0.299670721682882,0.0857906930583701,0.758244151768662,NaN,NaN
16,1,183,13.577794,0.301284532616818,0.0810566876724755,1.43562919599343,NaN,NaN
17,1,156,13.139912,0.293403907254585,0.0821354928474381,1.25198647300117,NaN,NaN
18,1,192,13.792795,0.289470440319747,0.0849949736616497,0.862942379725406,NaN,NaN
19,1,253,14.807,0.280786209568954,0.0864974013856796,0.679202556022547,NaN,NaN
20,1,238,14.60735,0.28559340251282,0.0808910994883301,1.47298663501374,NaN,NaN
21,1,244,14.503637,0.289843211118502,0.0862975459390119,0.691417728059615,NaN,NaN
22,1,231,14.003683,0.290828130647664,0.0829486791998915,1.14668224601705,NaN,NaN
23,1,197,13.603516,0.283967399574853,0.0810899414120672,1.39983187553296,NaN,NaN
24,1,203,13.54263,0.280275115658039,0.0817034127415796,1.31742008626795,NaN,NaN
