Field_Number,Success,Num_Calibrators,Time_Seconds,Norm_,Tau_aod500,Pwv_cm,Alpha,Dobson_units
1,1,113,5.314068,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
2,1,113,2.644916,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
3,1,113,2.527197,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
4,1,113,2.379268,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
5,1,113,2.520895,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
6,1,113,2.538827,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
7,1,113,2.362264,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
8,1,113,2.357825,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
9,1,113,2.602813,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
10,1,113,2.280045,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
11,1,113,2.307034,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
12,1,113,2.276784,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
13,1,113,2.316581,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
14,1,113,2.27576,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
15,1,113,2.420444,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
16,1,113,2.296108,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
17,1,113,2.317786,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
18,1,113,2.298843,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
19,1,113,2.294698,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
20,1,113,2.290471,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
21,1,113,2.315227,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
22,1,113,2.437886,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
23,1,113,2.298879,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
24,1,113,2.297966,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
