XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID,MAG_ZP,MAG_PSF_AB,FIELD_CORRECTION_MAG
18,64,17.9916687011719,64.1392211914062,0.853552341461182,0.754595100879669,0.0160618759691715,836.102233886719,1493.98217773438,1424.73754882812,1100.32861328125,692.156555175781,168.203964233398,8.79836082458496,168.922714233398,3.39203500747681,12117.44921875,17823.380859375,18648.501953125,0.00908867362886667,0.00749281607568264,0.00732507323846221,14.4196874513358,14.5007236403096,14.512126681733,0.00987029913812876,0.00813719816505909,0.00795502960681915,746586116,18.0101127624512,64.141242980957,20053.134765625,14.4253262354587,0.00767068145796657,15.0434083938599,141.578033447266,256.003999982175,65.5580231829887,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,103,20,NaN,2460857.28379839,24,21.6609540164752,14.1580733244669,0.0106953509313442
1453,214,1452.96594238281,214.179595947266,0.877740800380707,0.828245520591736,0.0348145514726639,72.5933380126953,134.410842895508,130.738616943359,103.708892822266,66.9478759765625,169.909622192383,9.1898775100708,169.961853027344,3.03358244895935,1125.47607421875,1720.22045898438,1854.01611328125,0.0299295503646135,0.0241750031709671,0.0232818983495235,16.9998739549242,17.0392382240746,17.0184524842169,0.0325034931302071,0.026254054158926,0.0252841413021088,134217732,1452.986328125,214.189727783203,1867.02795410156,17.0029038264011,0.0251953639090061,0.663323521614075,43.1031684875488,257.222109164628,65.5580818532444,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,71,20,NaN,2460857.28379839,24,21.6592495669151,16.7339475048805,0.00899090137127578
121,77,121.432373046875,77.1732864379883,1.09374296665192,1.08555221557617,0.00632440578192472,6.1725492477417,14.0706329345703,14.5417890548706,11.8313150405884,7.0707893371582,168.228057861328,8.7197437286377,167.612365722656,3.05391073226929,123.272933959961,232.379638671875,248.697418212891,0.0934120416641235,0.0669030100107193,0.0645890086889267,19.4009747075778,19.2126835765315,19.1995408150394,0.101445473730564,0.0726566687226295,0.0701436623930931,134234124,121.443473815918,77.0657730102539,197.213348388672,19.4434117151951,0.0790235623717308,0.816119253635406,13.7427368164062,256.091931369945,65.5590828833682,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,110,NaN,NaN,2460857.28379839,24,21.6595277958013,19.1747620178886,0.00926913025744395
1199,190,1199.04150390625,190.170318603516,0.952599287033081,1.27698695659637,0.187727153301239,3.43820691108704,6.11768007278442,6.18904495239258,5.35891628265381,3.12861275672913,169.864227294922,9.1818733215332,169.927749633789,3.04776358604431,46.5929336547852,89.2608261108398,86.5572204589844,0.160440906882286,0.111215859651566,0.113105535507202,20.4569155533519,20.2514103624176,20.3453334187255,0.174238830804825,0.120780423283577,0.122832611203194,134217732,1199.46057128906,189.973052978516,89.1396102905273,20.3054665400242,0.12080455571413,0.527148544788361,8.98972702026367,257.007023214024,65.5595647142544,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,98,NaN,NaN,2460857.28379839,24,21.6605266752838,20.0379248367883,0.010268009739994
732,142,731.718872070312,141.679336547852,0.781251132488251,0.765781819820404,0.375685542821884,1.59358930587769,5.43846893310547,4.71583652496338,2.83114624023438,1.59268832206726,168.904815673828,8.84410381317139,168.341339111328,3.01882433891296,52.2178497314453,63.0974960327148,95.7212982177734,0.149975940585136,0.134675607085228,0.106965497136116,20.3332700518878,20.6278959431092,20.2360966330138,0.162873864173889,0.14625771343708,0.116164527833462,132,731.926086425781,141.949920654297,70.6648712158203,20.5575550867771,0.137035891413689,0.907853364944458,7.92493104934692,256.610144303146,65.5603497886078,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,107,NaN,NaN,2460857.28379839,24,21.6598560932741,20.2894221529126,0.00959742773029662
1654,244,1653.6650390625,245.227630615234,0.367613911628723,1.22782707214355,-0.0471234545111656,2.64332866668701,5.97390985488892,5.53172969818115,3.70060253143311,2.17960381507874,169.259490966797,9.43660449981689,169.344451904297,3.16329169273376,47.8654327392578,49.4881439208984,54.7932510375977,0.158932134509087,0.155861005187035,0.146912693977356,20.4276869225492,20.8915028946379,20.8415574337851,0.172600299119949,0.169265046715736,0.159547179937363,201342980,1653.67834472656,244.598373413086,86.2017822265625,20.3418434931492,0.1232053861022,0.838053822517395,8.81454944610596,257.393510307917,65.5605993647953,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,71,NaN,NaN,2460857.28379839,24,21.6573729618596,20.0711573385703,0.00711429631576223
1222,199,1222.33666992188,199.503555297852,0.890611588954926,0.968305289745331,0.146948039531708,36.6990242004395,70.0795745849609,69.8742828369141,57.4987945556641,37.8985061645508,169.995483398438,9.29951572418213,169.560119628906,3.01976156234741,619.472106933594,1014.84362792969,1129.70166015625,0.0404727160930634,0.0315313749015331,0.0298719741404057,17.6481582601038,17.6121999851272,17.5563262926147,0.0439533703029156,0.0342430733144283,0.0324409641325474,134217732,1222.28247070312,199.47248840332,1032.8486328125,17.6456879450535,0.0339436009526253,1.13376009464264,31.9942493438721,257.02707692026,65.5619857399461,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,103,20,NaN,2460857.28379839,24,21.6603512968355,17.377834588564,0.0100926312916188
264,102,264.824615478516,101.462898254395,1.1173175573349,1.22180426120758,-0.275579184293747,4.13811635971069,7.57834005355835,7.49598979949951,5.83901023864746,3.63931751251221,168.393905639648,8.51287841796875,168.415222167969,2.93270111083984,54.3653030395508,107.008155822754,82.849006652832,0.145959168672562,0.100479789078236,0.115426078438759,20.2895437824424,20.0545618580249,20.3928601518727,0.158511653542519,0.109121054410934,0.12535272538662,671088640,264.253723144531,101.687828063965,104.028396606445,20.1378010584568,0.11074747890234,0.51743495464325,9.80609226226807,256.21392418767,65.5628198754419,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,106,NaN,NaN,2460857.28379839,24,21.6585626149125,19.8682578422166,0.00830394936869096
81,85,80.9136199951172,84.9473419189453,1.31261730194092,0.430624783039093,0.240270107984543,3.07259607315063,5.28364229202271,4.87990283966064,3.58163332939148,2.08241105079651,168.204696655273,8.80306148529053,167.902008056641,2.66571974754333,46.6136779785156,64.4283752441406,123.181716918945,0.157236576080322,0.131274521350861,0.0926628410816193,20.4564327088122,20.6052444489907,19.9622993816195,0.170758917927742,0.142564132809639,0.100631847977638,201326592,81.0758743286133,84.7794494628906,71.5515213012695,20.5440224482273,0.136055558919907,0.758487522602081,7.98203325271606,256.058652047374,65.5631129446091,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,99,NaN,NaN,2460857.28379839,24,21.6599253779134,20.2759531870777,0.00966671236959242
296,106,296.220947265625,105.910415649414,0.85284560918808,0.769846379756927,0.0177565608173609,508.034240722656,918.970458984375,880.960693359375,684.043395996094,431.475372314453,168.450241088867,8.52864933013916,168.801452636719,3.48164343833923,7395.35986328125,10953.283203125,11479.6650390625,0.0116379363462329,0.00956022273749113,0.00933822989463806,14.9558171800354,15.0293380614091,15.038913512233,0.0126387989148498,0.0103824017569423,0.0101413177326322,134217732,296.236541748047,105.916999816895,12245.423828125,14.9608467890476,0.00981734599918127,7.50664234161377,110.620529174805,256.241143131315,65.5631966462032,-0.560521081116954,-0.0605376984919239,-0.0079553082416659,103,20,NaN,2460857.28379839,24,21.6584829010677,14.6911233373535,0.00822423552382648
