JD_1,MAG_PSF_AB_1,JD_2,MAG_PSF_AB_2,JD_3,MAG_PSF_AB_3,JD_4,MAG_PSF_AB_4,JD_5,MAG_PSF_AB_5
2460855.28356149,18.0184121393599,2460856.28580624,17.9632911059814,2460857.28379839,18.0055702058886,2460859.32659275,17.9511528402246,2460860.49961283,17.9657276560738
2460855.28356149,16.441235585417,2460856.28580624,16.4437235475478,2460857.28379839,16.4711408422871,2460859.32659275,16.4309995302131,2460860.49961283,16.451819926765
2460855.28356149,18.563995984148,2460856.28580624,18.5319215619911,2460857.28379839,18.5726994222322,2460859.32659275,18.5134274793051,2460860.49961283,18.529381266968
2460855.28356149,20.0008335384438,2460856.28580624,19.9434033332382,2460857.28379839,20.1364101036113,2460859.32659275,19.9058421238076,2460860.49961283,20.0204238498866
2460855.28356149,15.2230459510275,2460856.28580624,15.23767118568,2460857.28379839,15.2548214341964,2460859.32659275,15.2206445980274,2460860.49961283,15.2293890245529
2460855.28356149,19.602521709225,2460856.28580624,19.8155278943536,2460857.28379839,19.7201531648029,2460859.32659275,19.4713917790967,2460860.49961283,19.7179892927737
2460855.28356149,18.5178128941609,2460856.28580624,18.5763137206238,2460857.28379839,18.5588380328194,2460859.32659275,18.4237357846769,2460860.49961283,18.5257919105735
2460855.28356149,17.22665602965,2460856.28580624,17.2401931214365,2460857.28379839,17.2350849635291,2460859.32659275,17.223049984866,2460860.49961283,17.1950907268826
2460855.28356149,17.998984755706,2460856.28580624,18.0349748908153,2460857.28379839,18.124816069313,2460859.32659275,17.9952774781534,2460860.49961283,18.0222895706913
2460855.28356149,19.597916388705,2460856.28580624,19.8043045728075,2460857.28379839,19.4725769441105,2460859.32659275,19.5392449208892,2460860.49961283,19.6653524079399
2460855.28356149,19.6260991121995,2460856.28580624,19.8035493602118,2460857.28379839,19.5952697867187,2460859.32659275,19.5333993500537,2460860.49961283,19.9236158490303
2460855.28356149,18.2177694183098,2460856.28580624,18.2059454384533,2460857.28379839,18.2213849094782,2460859.32659275,18.2597328028263,2460860.49961283,18.1252977862273
2460855.28356149,16.4654848859435,2460856.28580624,16.4764352264201,2460857.28379839,16.5321837449046,2460859.32659275,16.4648580859855,2460860.49961283,16.5088611280959
2460855.28356149,16.2525653439992,2460856.28580624,16.2408453057729,2460857.28379839,16.2502060255573,2460859.32659275,16.2384160962814,2460860.49961283,16.2329623484683
2460855.28356149,18.5508998226937,2460856.28580624,18.5869855229497,2460857.28379839,18.5062046280895,2460859.32659275,18.4795892130779,2460860.49961283,18.5178493840484
2460855.28356149,15.4146650708977,2460856.28580624,15.4024678106809,2460857.28379839,15.4446415886682,2460859.32659275,15.3994371219884,2460860.49961283,15.4216956252616
