XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID,DIFF_MAG,GAIA_RA,GAIA_DEC,LAST_IDX
165,67,164.55859375,66.790657043457,1.19221818447113,0.894781768321991,-0.0443495325744152,643.622619628906,1341.94787597656,1382.76232910156,1174.5947265625,791.601013183594,189.386688232422,12.6109704971313,191.140365600586,15.62926197052,13231.7109375,24156.306640625,26150.5859375,0.00877332501113415,0.00646650372073054,0.00621266942471266,13.6309362260987,13.6865177841449,13.6899718508867,0.009527831338346,0.00702262297272682,0.00674695894122124,134217728,164.520950317383,66.7530899047852,26654.17578125,13.6498652796955,0.0066534960642457,6.38039588928223,163.222457885742,336.699678056591,75.9693167673983,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,-0.00357602496042515,336.699615478516,75.9692764282227,13
567,25,566.648071289062,24.7702693939209,1.27703762054443,0.898240268230438,-0.0225568357855082,1746.45593261719,3731.4423828125,3886.13623046875,3332.40234375,2252.04418945312,189.542449951172,11.3458099365234,191.406524658203,3.52502751350403,34426.93359375,65505.36328125,71074.453125,0.00539050158113241,0.00390753382816911,0.00375129515305161,12.5927303883952,12.6034019717754,12.604391596002,0.0058540846221149,0.00424358155578375,0.00407390668988228,142606340,566.650390625,24.7446346282959,70845.984375,12.5884896617145,0.00408043945208192,17.1380786895752,266.147796630859,337.282761192931,75.9735038943996,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,-0.00371686422979668,337.282836914062,75.9734878540039,23
729,14,729.239624023438,14.4046449661255,1.30663645267487,0.906497299671173,-0.0290196221321821,116.600311279297,314.016326904297,348.794250488281,309.997039794922,209.866470336914,189.506362915039,11.2525997161865,189.65983581543,6.74034547805786,3139.31494140625,6070.2763671875,6599.82421875,0.0179763957858086,0.0128829386085272,0.0123516079038382,15.1928889160968,15.1860729311773,15.1848444666546,0.0195223651826382,0.0139908716082573,0.0134138464927673,142606336,729.273132324219,14.3751153945923,6483.73681640625,15.1847154002399,0.0134987542405725,1.88984000682831,80.4518661499023,337.517442180862,75.9770893297515,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,-0.0137082742489471,337.517364501953,75.9770736694336,34
382,71,381.585815429688,70.9577331542969,1.22761642932892,0.902228772640228,-0.0401370972394943,205.046615600586,442.119140625,458.47412109375,390.939788818359,264.235382080078,189.325164794922,11.7179574966431,190.943145751953,7.56556272506714,4148.9765625,7707.7431640625,8275.9326171875,0.0156316459178925,0.0114325461909175,0.0110303219407797,14.8901237270219,14.9267760156467,14.9391330322847,0.0169759672135115,0.0124157452955842,0.01197892986238,134217728,381.578094482422,70.9267501831055,8452.0966796875,14.896867881319,0.0118208434432745,1.81109285354614,91.8716201782227,337.009323354276,75.9810808424413,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,0.00972032971181929,337.00927734375,75.9810638427734,43
260,102,259.661651611328,102.412582397461,1.21469473838806,0.888009190559387,-0.0255944561213255,1075.62231445312,2409.40258789062,2536.39721679688,2179.61743164062,1465.50500488281,189.431930541992,11.9982242584229,191.104705810547,7.63776683807373,23966.8203125,43926.859375,47369.71875,0.00646729534491897,0.00477444706484675,0.00459744827821851,12.9859501924003,13.037268735833,13.04492339713,0.00702348258346319,0.0051850494928658,0.00499282870441675,134217732,259.646606445312,102.377952575684,48323.28515625,13.0038882594318,0.00494089350104332,10.9701795578003,219.798294067383,336.828807209826,75.9862557401885,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,-0.00736004957854247,336.828979492188,75.9862518310547,52
474,83,473.928436279297,83.4087295532227,1.26139616966248,0.920139312744141,-0.0422777384519577,206.375396728516,509.895385742188,551.211853027344,482.627746582031,326.755462646484,189.370147705078,11.6057748794556,190.215393066406,3.94715619087219,5011.3671875,9521.2900390625,10349.166015625,0.0141480294987559,0.0102566881105304,0.0098372558131814,14.6850856379812,14.6973546215473,14.6964120186458,0.0153647596016526,0.0111387632787228,0.0106832599267364,134217732,473.927276611328,83.3837509155273,10261.6201171875,14.6862384181232,0.010726728476584,2.73095512390137,101.24242401123,337.139220610474,75.9896728241793,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,0.00602195610779834,337.139221191406,75.9896621704102,62
158,128,157.723663330078,127.802429199219,1.19138121604919,0.89340603351593,-0.0400894545018673,864.333068847656,1844.03588867188,1901.53332519531,1605.16674804688,1072.18273925781,189.444763183594,12.133996963501,190.606658935547,3.36998963356018,17687.958984375,32207.494140625,34768.703125,0.00752143142744899,0.00557311624288559,0.00536385038867593,13.3157819341321,13.3742017786066,13.3807041827437,0.00816827453672886,0.00605240417644382,0.00582514144480228,134217732,157.690246582031,127.766456604004,35557.8203125,13.3369408946247,0.005760183557868,8.08600807189941,188.535659790039,336.677935187849,75.9901612033764,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,-0.00120749226247135,336.678039550781,75.9901504516602,64
555,75,555.304931640625,74.9568939208984,1.27459049224854,0.901316106319427,-0.0255394857376814,650.922485351562,1678.54711914062,1815.33349609375,1578.76574707031,1060.97033691406,189.520202636719,11.3793535232544,190.5458984375,3.46326923370361,16206.7646484375,30760.654296875,33369.00390625,0.00785800814628601,0.00570278335362673,0.00547528127208352,13.4107354261849,13.4241051973378,13.4253173051437,0.00853379722684622,0.0061932229436934,0.00594615563750267,134217728,555.318420410156,74.9270553588867,33252.640625,13.409713874361,0.00595649890601635,6.99581956863403,182.321868896484,337.257380094326,75.9904322725564,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,-0.00382536971634539,337.257202148438,75.9904479980469,65
291,114,290.820220947266,114.019088745117,1.22325015068054,0.910964965820312,-0.0363763868808746,244.214157104492,547.639587402344,572.140075683594,487.250152587891,326.849395751953,189.425506591797,11.7412099838257,190.453216552734,3.38051414489746,5152.56689453125,9570.26953125,10342.4697265625,0.0139466291293502,0.0102281495928764,0.00983847212046385,14.6549171059125,14.6917836860491,14.6971147570548,0.0151460394263268,0.0111077707260847,0.0106845805421472,134217732,290.798187255859,113.994728088379,10440.9189453125,14.6674319606037,0.0106341922655702,2.09977126121521,102.123413085938,336.871167135247,75.9917698220993,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,-0.0106731645679389,336.871215820312,75.9917526245117,71
842,44,841.486938476562,43.6388320922852,1.33577227592468,0.906277596950531,-0.00444686319679022,262.007080078125,573.180358886719,602.460327148438,525.613891601562,361.466003417969,189.638809204102,11.4193105697632,190.665618896484,32.9169425964355,5376.0927734375,10520.6142578125,11493.7958984375,0.0149498442187905,0.0102391848340631,0.00975732132792473,14.6088093198498,14.588991367665,14.5825167026929,0.0162355303764343,0.0111197549849749,0.0105964513495564,671088652,841.534484863281,43.6269798278809,11231.451171875,14.5881892543049,0.0102525660768151,3.48227429389954,105.924705505371,337.673209964502,75.9920909328831,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,0.0111222684668238,337.673156738281,75.992073059082,74
