Field_Number,Success,Num_Calibrators,Time_Seconds,Norm_,Tau_aod500,Pwv_cm,Alpha,Dobson_units
1,1,120,2.427867,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
2,1,120,2.280055,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
3,1,120,2.299522,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
4,1,120,2.285567,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
5,1,120,2.306545,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
6,1,120,2.347752,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
7,1,120,2.295843,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
8,1,120,2.269187,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
9,1,120,2.258906,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
10,1,120,2.251771,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
11,1,120,2.250389,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
12,1,120,2.253907,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
13,1,120,2.328602,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
14,1,120,2.246263,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
15,1,120,2.25149,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
16,1,120,2.287472,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
17,1,120,2.252079,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
18,1,120,2.297635,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
19,1,120,2.311282,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
20,1,120,2.342855,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
21,1,120,2.277806,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
22,1,120,2.296728,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
23,1,120,2.29804,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
24,1,120,2.314981,0.393820955295801,0.0872835241739388,0.618147780100095,NaN,NaN
