Field_Number,Success,Num_Calibrators,Time_Seconds,Norm_,Tau_aod500,Pwv_cm,Alpha,Dobson_units
1,1,120,2.420664,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
2,1,120,2.242125,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
3,1,120,2.2801,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
4,1,120,2.28815,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
5,1,120,2.231468,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
6,1,120,2.398043,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
7,1,120,2.287746,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
8,1,120,2.251188,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
9,1,120,2.271862,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
10,1,120,2.24996,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
11,1,120,2.272995,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
12,1,120,2.311231,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
13,1,120,2.246399,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
14,1,120,2.289207,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
15,1,120,2.238801,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
16,1,120,2.244348,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
17,1,120,2.266242,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
18,1,120,2.23186,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
19,1,120,2.216937,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
20,1,120,2.226494,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
21,1,120,2.290223,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
22,1,120,2.22748,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
23,1,120,2.234354,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
24,1,120,2.237879,0.38799600098821,0.085478759778672,0.821769674942272,NaN,NaN
