XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID,MAG_ZP,MAG_PSF_AB,MAG_APER3_AB,FIELD_CORRECTION_MAG,SOURCE_ID_P,RA_P,Dec_P,JD_P,MAG_PSF_AB_P,MAG_PSF_AB_ERR_P,MAG_APER_AB_P,MAG_APER_AB_ERR_P,AB_ZP_P,SN_P,MAG_PSF_LAST_P,MAG_PSF_LAST_ERR_P,MAG_APER_LAST_P,MAG_APER_LAST_ERR_P,LAST_FLAGS_P,LAST_X_P,LAST_Y_P,FWHM_P,ELLIPTICITY_P,FLUX_APER_3_P,FLUX_PSF_P,FIELD_CORR_P,LAST_X2_P,LAST_Y2_P,LAST_XY_P,LAST_BACK_IM_P,LAST_BACK_ANNULUS_P
44,18,43.5133895874023,17.6001968383789,1.20277380943298,0.903197586536407,-0.0605053715407848,44.0609931945801,96.6909408569336,101.013092041016,86.0391540527344,56.9256858825684,189.182037353516,12.7748394012451,188.580108642578,4.1335620880127,1001.33081054688,1828.38598632812,2030.04614257812,0.0318702347576618,0.023495564237237,0.0222877915948629,16.4335312124337,16.4889240860653,16.464910375963,0.0346110761165619,0.0255161821842194,0.0242045409977436,142606340,43.5057182312012,17.5717277526855,1986.88342285156,16.4688464503498,0.0244419202208519,0.829327046871185,44.4318618774414,336.536596329272,75.9463227063582,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,0,20,NaN,2460112.43733135,1,21.2199127662185,16.2270567895384,16.2037229817293+0i,0.00440016811111859,0,336.536596329272,75.9463227063582,2460112.43501602,16.2289611879169,0.0244419196970761,16.2056273801077,0.0244419196970761,21.221817164597,44.4318618774414,16.4688464503498,0.0244419196970761,16.464910375963,0.0242045409977436,142606340,43.5057182312012,17.5717277526855,3.64561738897677,0.139805857866945,101.502307128906,99.3441711425781,0.00586139702284895,1.20277380943298,0.903197586536407,-0.0605053715407848,189.182037353516,188.580108642578
65,18,64.9923553466797,18.1390743255615,1.20466876029968,0.788406133651733,-0.218545660376549,7.16859292984009,16.2667446136475,16.7367782592773,14.0132236480713,8.53639507293701,189.182037353516,12.7748394012451,189.299301147461,3.63905000686646,159.434707641602,283.661041259766,302.982055664062,0.0824204310774803,0.0607446618378162,0.0586922839283943,18.4284763592076,18.5120813956183,18.5301213161992,0.0895085856318474,0.0659686997532845,0.0637398213148117,142606336,64.904899597168,18.0318984985352,321.787353515625,18.4453460078449,0.061730433255434,0.760216176509857,17.5926189422607,336.567034535114,75.9475389380874,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,NaN,NaN,2460112.43733135,1,21.219454005804,18.2031065649652,18.2684867253324+0i,0.00394140769657794,1,336.567034535114,75.9475389380874,2460112.43501602,18.2053804834279,0.0617304338577599,18.270760643795,0.0617304338577599,21.2217279242667,17.5926189422607,18.4453460078449,0.0617304338577599,18.5301213161992,0.0637398213148117,142606336,64.904899597168,18.0318984985352,3.64561738897677,0.139805857866945,15.1491027832031,16.0893676757813,0.00577215669254216,1.20466876029968,0.788406133651733,-0.218545660376549,189.182037353516,189.299301147461
94,21,93.8836975097656,20.5141887664795,1.26683402061462,1.06032752990723,-0.0981525033712387,6.12841463088989,12.7207088470459,12.9685831069946,10.2119932174683,5.13822555541992,189.209487915039,12.752857208252,188.083908081055,3.41502976417542,135.840621948242,282.405212402344,304.023590087891,0.0894068628549576,0.0607226714491844,0.0584413707256317,18.6023432563798,18.5168987365036,18.5263954589591,0.0970958545804024,0.0659448206424713,0.0634673312306404,142606340,93.8375396728516,20.5388584136963,256.013702392578,18.6936026911945,0.0695431306958199,0.794381380081177,15.6162080764771,336.607823032014,75.9498311787915,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,NaN,NaN,2460112.43733135,1,21.2188544448256,18.4507714082623,18.2641612262177+0i,0.00334184671818936,2,336.607823032014,75.9498311787915,2460112.43501602,18.453449123623,0.0695431307447715,18.2668389415784,0.0695431307447715,21.2215321601863,15.6162080764771,18.6936026911945,0.0695431307447715,18.5263954589591,0.0634673312306404,142606340,93.8375396728516,20.5388584136963,3.64561738897677,0.139805857866945,15.2011795043945,12.8006851196289,0.00557639261219819,1.26683402061462,1.06032752990723,-0.0981525033712387,189.209487915039,188.083908081055
132,16,131.918655395508,16.398193359375,1.19736540317535,0.933016717433929,-0.0574191436171532,89.2387084960938,209.302490234375,223.025344848633,192.619186401367,129.285720825195,189.304321289062,12.6769180297852,188.793609619141,4.59778022766113,2149.08129882812,3979.94091796875,4380.3486328125,0.0216769967228174,0.0158932246267796,0.0151457609608769,15.6043438963545,15.6444024896438,15.6299036628268,0.0235412176698446,0.0172600410878658,0.0164482966065407,142606340,131.876266479492,16.3642330169678,4312.46142578125,15.6274663310261,0.0165616888552904,1.25966715812683,65.5730209350586,336.662935095588,75.9502409775621,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,21.2181754590652,15.3839373897003,15.366978754567+0i,0.00266286095782407,3,336.662935095588,75.9502409775621,2460112.43501602,15.3871346672971,0.0165616893123704,15.3701760321638,0.0165616893123704,21.2213727366621,65.5730209350586,15.6274663310261,0.0165616893123704,15.6299036628268,0.0164482966065407,142606340,131.876266479492,16.3642330169678,3.64561738897677,0.139805857866945,219.017431640625,215.623071289062,0.00541696908794969,1.19736540317535,0.933016717433929,-0.0574191436171532,189.304321289062,188.793609619141
241,7,241.035278320312,7.23445320129395,1.14443552494049,0.884811401367188,-0.0235726349055767,24.2491550445557,58.1897468566895,60.9935989379883,49.8135070800781,30.691442489624,189.417205810547,12.294563293457,189.417205810547,6.26990079879761,571.756103515625,1012.58581542969,936.044616699219,0.0432348400354385,0.0320298448204994,0.0333645343780518,17.0419458991059,17.1305134634246,17.3054327990533,0.0469530373811722,0.034784410148859,0.0362338833510876,679477252,240.993469238281,7.16156148910522,1145.78564453125,17.0665179591389,0.032254908233881,0.568780720233917,33.6692962646484,336.82050364659,75.9523076036067,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,11,NaN,2460112.43733135,1,21.216546847743,16.8213633951472,17.0408804620543+0i,0.00103424963556219,4,336.82050364659,75.9523076036067,2460112.43501602,16.8254155445604,0.0322549064127682,17.0449326114675,0.0322549064127682,21.2205989971562,33.6692962646484,17.0665179591389,0.0322549064127682,17.3054327990533,0.0362338833510876,679477252,240.993469238281,7.16156148910522,3.64561738897677,0.139805857866945,46.8022308349609,57.2892822265625,0.00464322958205078,1.14443552494049,0.884811401367188,-0.0235726349055767,189.417205810547,189.417205810547
36,36,35.9291458129883,36.386417388916,1.17800784111023,0.968924880027771,-0.0503552295267582,37.2901077270508,89.8875274658203,96.1188201904297,83.0042953491211,55.4327583312988,189.182037353516,12.7748394012451,188.712631225586,3.35739207267761,928.369262695312,1719.97058105469,1914.42602539062,0.0330187268555164,0.0241912305355072,0.0229221601039171,16.5156731016349,16.5552912071399,16.5285786428293,0.0358583368360996,0.0262716766446829,0.0248934663832188,134217732,35.8957672119141,36.3634490966797,1856.81994628906,16.5423537593098,0.025289123877883,0.633208930492401,42.9433631896973,336.521987182324,75.9524666709615,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,21.2199631119094,16.3006136192162,16.2674416270701+0i,0.00445051380193543,5,336.521987182324,75.9524666709615,2460112.43501602,16.3021138976466,0.0252891231458217,16.2689419055005,0.0252891231458217,21.2214633903398,42.9433631896973,16.5423537593098,0.0252891231458217,16.5285786428293,0.0248934663832188,134217732,35.8957672119141,36.3634490966797,3.64561738897677,0.139805857866945,95.7213012695313,92.8409973144531,0.0055076227656428,1.17800784111023,0.968924880027771,-0.0503552295267582,189.182037353516,188.712631225586
205,24,205.155380249023,23.6505966186523,1.4035472869873,1.19412064552307,-0.0782152935862541,6.41116523742676,16.0427303314209,17.7225036621094,15.2005224227905,8.70311832427979,189.460632324219,12.5042505264282,188.334442138672,3.40681672096252,166.393005371094,387.820861816406,426.936279296875,0.0801815018057823,0.0515332706272602,0.049050435423851,18.3820993658512,18.1725089843245,18.1577618041759,0.0870771110057831,0.0559651330113411,0.0532687716186047,142606340,205.353546142578,23.7316932678223,335.965393066406,18.3985320430012,0.060341726988554,0.665246605873108,17.9974956512451,336.76640335344,75.9563534050394,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,NaN,NaN,2460112.43733135,1,21.2169279626688,18.1537665914966,17.8935952994816+0i,0.00141536456137569,6,336.76640335344,75.9563534050394,2460112.43501602,18.1574425330109,0.0603417287073976,17.897271240996,0.0603417287073976,21.2206039041831,17.9974956512451,18.3985320430012,0.0603417287073976,18.1577618041759,0.0532687716186047,142606340,205.353546142578,23.7316932678223,3.64561738897677,0.139805857866945,21.3468139648438,16.7982696533203,0.00464813660899845,1.4035472869873,1.19412064552307,-0.0782152935862541,189.460632324219,188.334442138672
138,38,138.458694458008,37.3512077331543,1.39376378059387,1.48605442047119,-0.274673640727997,2.07698631286621,5.6235203742981,6.22964763641357,5.88464069366455,4.20899438858032,189.319305419922,12.6649265289307,189.076965332031,3.50237417221069,54.4983596801758,130.489547729492,174.468460083008,0.149930834770203,0.0915633589029312,0.07832420617342,19.5936522922474,19.3550910480825,19.1293474262241,0.162824884057045,0.0994378104805946,0.0850600898265839,134217732,138.167297363281,37.5039367675781,115.328086853027,19.5593577723713,0.106533907353878,0.671582460403442,10.1939373016357,336.667764192044,75.9578847405397,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,NaN,NaN,2460112.43733135,1,21.217931405366,19.3156686752956,18.8662140748831+0i,0.00241880725854601,7,336.667764192044,75.9578847405397,2460112.43501602,19.3186407143542,0.10653391009436,18.8691861139417,0.10653391009436,21.2209034444246,10.1939373016357,19.5593577723713,0.10653391009436,19.1293474262241,0.0850600898265839,134217732,138.167297363281,37.5039367675781,3.64561738897677,0.139805857866945,8.72342300415039,5.76640434265137,0.0049476768504664,1.39376378059387,1.48605442047119,-0.274673640727997,189.319305419922,189.076965332031
170,35,169.602325439453,35.0891761779785,1.08038258552551,1.917813539505,-0.23740541934967,7.28492975234985,18.1088733673096,21.6394691467285,22.5043067932129,16.959077835083,189.399169921875,12.600977897644,188.701721191406,3.33105516433716,185.072692871094,512.473449707031,697.037902832031,0.0756784826517105,0.0446494147181511,0.038176953792572,18.2665886863417,17.8699115608979,17.6255321924863,0.082186833024025,0.0484892651438713,0.0414601713418961,134217732,169.142135620117,35.9403495788574,421.016357421875,18.1535254817219,0.0537135899066925,1.34132373332977,20.2183475494385,336.712307864705,75.9588451551638,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,7,NaN,2460112.43733135,1,21.2174165217324,17.9092440872173,17.3618505249614+0i,0.00190392362498126,8,336.712307864705,75.9588451551638,2460112.43501602,17.9125145026799,0.053713588479201,17.3651209404239,0.053713588479201,21.2206869371949,20.2183475494385,18.1535254817219,0.053713588479201,17.6255321924863,0.0414601713418961,134217732,169.142135620117,35.9403495788574,3.64561738897677,0.139805857866945,34.8518951416016,21.0508178710937,0.00473116962080793,1.08038258552551,1.917813539505,-0.23740541934967,189.399169921875,188.701721191406
290,25,290.114166259766,25.4268798828125,1.31196129322052,0.916145980358124,-0.00229982822202146,13.779185295105,32.8886032104492,35.5255546569824,31.1971950531006,21.1172046661377,189.358139038086,12.0091543197632,188.619445800781,3.2237548828125,335.111022949219,655.210327148438,790.583740234375,0.0554673746228218,0.0393755696713924,0.0357982628047466,17.6219947920218,17.6031397567861,17.4888039808158,0.060237567871809,0.0427618697285652,0.0388769134879112,671088644,290.149963378906,25.3166351318359,677.084228515625,17.6376696925373,0.0421042703092098,0.342517852783203,25.7931079864502,336.887235334825,75.9609483231884,-0.798699169192108,-0.0895812922805508,-0.0193970626965401,71,20,NaN,2460112.43733135,1,21.2157938065718,17.391762051256,17.2234991005876+0i,0.000281208464428197,9,336.887235334825,75.9609483231884,2460112.43501602,17.3956695935321,0.0421042706668194,17.2274066428638,0.0421042706668194,21.219701348848,25.7931079864502,17.6376696925373,0.0421042706668194,17.4888039808158,0.0388769134879112,671088644,290.149963378906,25.3166351318359,3.64561738897677,0.139805857866945,39.5291870117187,33.8542114257813,0.00374558127387384,1.31196129322052,0.916145980358124,-0.00229982822202146,189.358139038086,188.619445800781
