XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID,DIFF_MAG
165,67,164.558578491211,66.7906723022461,1.1922173500061,0.894781827926636,-0.0443501137197018,643.777954101562,1342.26574707031,1383.0888671875,1174.87231445312,791.789611816406,189.385986328125,12.6050720214844,191.140014648438,15.6295938491821,13231.7373046875,24156.32421875,26150.61328125,0.00877332035452127,0.00646650278940797,0.00621266756206751,13.6308898813303,13.6864443217461,13.6899997201343,0.00952782575041056,0.00702262204140425,0.00674695707857609,134217728,164.52082824707,66.7532043457031,26656.359375,13.6497751278338,0.00665322272107005,6.39560317993164,163.22917175293,336.699678781083,75.9693168985828,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.0037403918416436
567,25,566.648010253906,24.7702903747559,1.27703619003296,0.89823967218399,-0.0225562676787376,1747.02563476562,3732.638671875,3887.37524414062,3333.46044921875,2252.75708007812,189.543304443359,11.338568687439,191.406585693359,3.52502918243408,34426.8515625,65505.375,71074.390625,0.00539050856605172,0.00390753336250782,0.00375129655003548,12.5926887942564,12.6033291052121,12.6044215552766,0.00585409207269549,0.00424358109012246,0.00407390808686614,142606340,566.650329589844,24.7447605133057,70851.96875,12.5883966488299,0.0040802676230669,17.149995803833,266.159027099609,337.28275849075,75.9735036359006,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.00430855120096885
729,14,729.239624023438,14.4046630859375,1.30663442611694,0.906496465206146,-0.0290207024663687,116.643981933594,314.134246826172,348.925048828125,310.112548828125,209.943069458008,189.507125854492,11.2440872192383,189.660186767578,6.74034452438354,3139.32080078125,6070.26904296875,6599.7978515625,0.0179763771593571,0.0128829460591078,0.0123516330495477,15.1928427084318,15.1860015688679,15.1848778088473,0.0195223446935415,0.0139908790588379,0.013413873501122,142606336,729.273010253906,14.3752956390381,6484.2763671875,15.1846223873553,0.0134981824085116,1.89285111427307,80.4552764892578,337.517439507578,75.9770889773866,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.0136115145357166
382,71,381.585784912109,70.9577560424805,1.22761499881744,0.90222579240799,-0.040136806666851,204.99951171875,442.016845703125,458.368804931641,390.852935791016,264.181457519531,189.323059082031,11.7234840393066,190.943572998047,7.56553888320923,4148.97314453125,7707.72607421875,8275.88671875,0.0156316515058279,0.011432558298111,0.0110303526744246,14.8900804402679,14.926705750649,14.939168058331,0.0169759728014469,0.0124157583341002,0.0119789633899927,134217728,381.578002929688,70.9268798828125,8452.8525390625,14.8967681927142,0.0118203172460198,1.81486964225769,91.8757095336914,337.00932151067,75.9810807593828,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.00964670934278855
260,102,259.66162109375,102.41259765625,1.21469378471375,0.888009488582611,-0.0255938041955233,1075.66223144531,2409.49584960938,2536.498046875,2179.70874023438,1465.57141113281,189.430404663086,11.997218132019,191.103698730469,7.63776206970215,23966.82421875,43926.8984375,47369.80078125,0.00646729487925768,0.0047744452022016,0.00459744408726692,12.985905834246,13.0371950980014,13.0449505214585,0.0070234821178019,0.00518504763022065,0.00499282404780388,134217732,259.646514892578,102.378143310547,48327.3046875,13.0037942928729,0.00494068767875433,11.0027484893799,219.80744934082,336.828806628893,75.9862558057352,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.00823127106186101
474,83,473.928436279297,83.4087524414062,1.26139497756958,0.920138239860535,-0.0422774143517017,206.389053344727,509.928771972656,551.247863769531,482.659332275391,326.7763671875,189.370452880859,11.6042098999023,190.215469360352,3.94712781906128,5011.38037109375,9521.2900390625,10349.162109375,0.0141480090096593,0.0102566881105304,0.00983725860714912,14.685038600503,14.6972819492195,14.6964414329743,0.0153647381812334,0.0111387632787228,0.0106832627207041,134217732,473.922302246094,83.383903503418,10262.4169921875,14.6861530346331,0.0107263112440705,2.73411631584167,101.246360778809,337.139211418107,75.9896724996579,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.0066831193540742
158,128,157.723724365234,127.802505493164,1.19132816791534,0.893354058265686,-0.0401393957436085,864.575073242188,1844.54541015625,1902.05261230469,1605.56958007812,1072.42309570312,189.444641113281,12.1273555755615,190.606964111328,3.37000107765198,17688.0625,32206.427734375,34766.13671875,0.00752141000702977,0.00557320844382048,0.00536404829472303,13.3157313988785,13.374165056143,13.3808133324181,0.00816825125366449,0.00605250429362059,0.00582535658031702,134217732,157.690170288086,127.766593933105,35560.31640625,13.3368621868548,0.00575998099520802,8.1074333190918,188.542282104492,336.677936253621,75.9901613876509,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.00132601505710111
555,75,555.304931640625,74.9569091796875,1.27458679676056,0.901315629482269,-0.0255382899194956,651.111633300781,1679.03149414062,1815.85388183594,1579.21533203125,1061.26989746094,189.521011352539,11.3728456497192,190.5458984375,3.46088838577271,16206.80859375,30760.6171875,33368.9765625,0.00785799324512482,0.00570278521627188,0.00547528173774481,13.4106883009755,13.4240338348331,13.4253471993567,0.00853378046303988,0.00619322480633855,0.00594615610316396,134217728,555.318298339844,74.9271697998047,33255.4296875,13.4096199078021,0.00595624791458249,7.00843572616577,182.329544067383,337.257377687389,75.9904321167455,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.00422550323095138
291,114,290.820190429688,114.019111633301,1.22324860095978,0.910963773727417,-0.0363757647573948,244.165786743164,547.530578613281,572.026611328125,487.155700683594,326.789703369141,189.423873901367,11.7459774017334,190.453475952148,3.38052201271057,5152.56640625,9570.2666015625,10342.4453125,0.0139466300606728,0.010228150524199,0.00983848422765732,14.6548730276072,14.6917113460911,14.6971463245294,0.0151460403576493,0.0111077716574073,0.0106845935806632,134217732,290.798126220703,113.994850158691,10441.8388671875,14.6673332256732,0.0106337256729603,2.10532665252686,102.127891540527,336.871166298209,75.9917698466516,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.0107854777147149
842,44,841.486877441406,43.6388511657715,1.33577179908752,0.906277060508728,-0.00444616936147213,262.080780029297,573.336669921875,602.622985839844,525.754455566406,361.561126708984,189.639526367188,11.4131088256836,190.665435791016,32.9171180725098,5376.076171875,10520.6328125,11493.8134765625,0.0149498851969838,0.0102391801774502,0.00975731667131186,14.6087684914514,14.5889167804797,14.5825440467369,0.0162355750799179,0.0111197493970394,0.010596445761621,671088652,841.534362792969,43.6271133422852,11232.423828125,14.588092426723,0.0102521181106567,3.48249793052673,105.929328918457,337.673207938318,75.9920905801251,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.0109950186042558
