Field_Number,Success,Num_Calibrators,Time_Seconds,Norm_,Tau_aod500,Pwv_cm,Alpha,Dobson_units
1,1,115,2.395485,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
2,1,115,2.356862,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
3,1,115,2.320013,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
4,1,115,2.35577,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
5,1,115,2.349712,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
6,1,115,2.330407,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
7,1,115,2.332711,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
8,1,115,2.428351,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
9,1,115,2.439384,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
10,1,115,2.428987,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
11,1,115,2.327057,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
12,1,115,2.260448,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
13,1,115,2.34205,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
14,1,115,2.389018,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
15,1,115,2.281399,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
16,1,115,2.269823,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
17,1,115,2.444169,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
18,1,115,2.327003,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
19,1,115,2.262624,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
20,1,115,2.261046,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
21,1,115,2.249527,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
22,1,115,2.305455,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
23,1,115,2.270607,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
24,1,115,2.255312,0.34617549397041,0.0833626694586186,1.08255713365977,NaN,NaN
