XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,JD,CropID,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,MAG_ZP,MAG_PSF_AB,FIELD_CORRECTION_MAG
1530,1239,1530.29833984375,1238.47900390625,0.465049475431442,1.15741622447968,-0.032962154597044,2.33527851104736,6.68810701370239,6.16383075714111,4.37605142593384,2.51492738723755,144.144729614258,161.186599731445,143.465118408203,12.9778213500977,256.935882568359,336.795043945312,371.017822265625,0.080270029604435,0.06673813611269,0.0626004487276077,19.44124271898,19.1473972638294,19.0423262484916,0.0871732532978058,0.0724776163697243,0.0679840892553329,67108864,2460381.32076979,16,1529.95788574219,1238.82250976562,414.827362060547,18.9211452386671,0.0628317221999168,1.13030815124512,17.2842636108398,124.252416029552,4.73610474039344,21.8502509771086,18.558157479329,-0.00563192438875673
843,1243,843.892150878906,1242.93481445312,1.34215557575226,1.01001560688019,0.2724589407444,2.34499025344849,5.26918363571167,5.27178859710693,4.34752750396729,2.6904718875885,144.182510375977,154.493682861328,144.083435058594,12.5573244094849,167.461639404297,339.779693603516,394.54736328125,0.107677571475506,0.0656423792243004,0.0595610477030277,19.9059940051849,19.1378181104878,18.9755662275946,0.116937845945358,0.0712876245379448,0.0646832957863808,0,2460381.32076979,16,843.825439453125,1242.60473632812,359.351715087891,19.0770137689405,0.0685056373476982,0.790198683738708,15.8527097702026,124.012414554134,4.73623970202313,21.8413931172114,18.7051688014538,-0.0144897842859572
546,1244,545.873779296875,1244.22888183594,1.15558099746704,0.959633231163025,0.016903230920434,61.5004386901855,140.604309082031,148.623825073242,127.876762390137,86.1381683349609,145.039886474609,159.797729492188,145.543670654297,12.7953004837036,5001.412109375,9324.0537109375,10108.2578125,0.0143697122111917,0.0104466583579779,0.0100265312939882,16.2180894190859,15.541809136714,15.454130279744,0.0156055074185133,0.0113450707867742,0.0108888130635023,0,2460381.32076979,16,545.847534179688,1244.21752929688,10128.2109375,15.4519899270826,0.0108758388087153,1.67465972900391,99.8543701171875,123.908140725504,4.73624074303844,21.8398795072177,15.0786226521257,-0.0160033942796815
1443,1240,1443.24621582031,1240.13854980469,1.09011626243591,0.859544098377228,0.215789288282394,5.66197490692139,12.3157796859741,12.4131441116333,9.58102035522461,5.22254371643066,144.388137817383,159.912872314453,143.196899414062,12.8218078613281,440.734680175781,773.267333984375,734.429931640625,0.0558146685361862,0.0395999327301979,0.0408214181661606,18.8553724131036,18.244995089492,18.3009431323047,0.0606147311627865,0.0430055260658264,0.0443320609629154,4,2460381.32076979,16,1443.06579589844,1239.82397460938,840.864379882812,18.1540058038526,0.0408575721085072,1.65171957015991,26.5801391601562,124.222030291941,4.73631172097953,21.8486325509533,17.7893926511479,-0.0072503505439989
697,1245,697.103210449219,1245.21752929688,1.24059724807739,0.757738411426544,0.143622159957886,2.95196914672852,6.89542627334595,7.16114139556885,5.68125152587891,2.98169803619385,144.905563354492,151.276504516602,146.127471923828,13.1212339401245,223.374465942383,337.470275878906,290.406677246094,0.0890353322029114,0.0668952018022537,0.0740600079298019,19.5932154884876,19.1452227159763,19.3082916975823,0.096692368388176,0.0726481899619102,0.0804291665554047,4,2460381.32076979,16,696.797729492188,1244.98718261719,472.946716308594,18.7787845514112,0.0573703572154045,0.725188553333282,18.9296360015869,123.960963948217,4.73679711270456,21.840459456246,18.4060039091886,-0.0154234452513637
1121,1243,1120.771484375,1243.26831054688,1.49896657466888,1.10590147972107,-0.0302185900509357,35.0713005065918,90.2059707641602,100.125129699707,94.8549041748047,70.8613204956055,144.5966796875,156.853973388672,143.164947509766,12.1630229949951,3079.119140625,7141.50439453125,8645.361328125,0.0184491742402315,0.0119552174583077,0.0108465794473886,16.7447547176198,15.8313467749705,15.623863178446,0.0200358033180237,0.0129833659157157,0.0117793856188655,4,2460381.32076979,16,1121.14953613281,1243.21472167969,6675.2802734375,15.9046476266676,0.013447405770421,3.44726324081421,80.7590713500977,124.109434409175,4.73694803436421,21.8439803181493,15.5353815447076,-0.0119025833480488
138,1249,137.583999633789,1249.09399414062,1.13510239124298,0.949073910713196,0.0240929815918207,216.473342895508,490.573120117188,518.249389648438,449.293060302734,306.142547607422,145.811569213867,158.525115966797,148.23112487793,29.9542560577393,17582.6796875,32483.1875,35792.7890625,0.00773152522742748,0.00562454527243972,0.00535153783857822,14.8531084011494,14.1866744672334,14.0813322123287,0.00839643646031618,0.00610825605690479,0.00581176998093724,132,2460381.32076979,16,137.586349487305,1249.09533691406,35679.26171875,14.084782399922,0.00576214957982302,2.17317128181458,188.471328735352,123.76523620345,4.73712070674588,21.8403604224007,13.7118957633031,-0.01552247909664
1382,1243,1381.9697265625,1243.06994628906,1.09637224674225,1.03164041042328,0.0276648849248886,709.742614746094,1575.88940429688,1654.97241210938,1425.54150390625,966.520385742188,144.540771484375,159.464660644531,146.583557128906,13.0898208618164,54874.05859375,103201.046875,114135.796875,0.00427556456997991,0.00311543140560389,0.00296220276504755,13.6174033586788,12.931610808562,12.8222663772839,0.00464326329529285,0.00338335847482085,0.00321695231832564,0,2460381.32076979,16,1381.96948242188,1243.06799316406,111276.6015625,12.8498123071485,0.00325790839269757,6.73588705062866,333.342712402344,124.200658822592,4.73734125792612,21.8475698733399,12.4841352284059,-0.00831302815746009
400,1249,399.811401367188,1248.60009765625,1.14851772785187,0.900968372821808,0.0687856450676918,9.82733249664307,17.7403182983398,17.889368057251,15.120418548584,10.3510246276855,145.458312988281,157.634994506836,144.793106079102,12.7155418395996,620.0556640625,1112.59899902344,1277.81958007812,0.0450921207666397,0.0320844389498234,0.0296918321400881,18.4847415441393,17.8499735263952,17.6996465543548,0.0489700436592102,0.0348437018692493,0.0322453305125237,132,2460381.32076979,16,399.770202636719,1248.69348144531,1242.30114746094,17.730253972798,0.0327082313597202,0.89031320810318,33.2026519775391,123.857007976698,4.73751455592749,21.8396348505959,17.3566426238517,-0.0162480509014586
1570,1243,1569.81872558594,1243.39453125,1.119713306427,1.00268077850342,0.0393610745668411,24.9139442443848,57.8411407470703,61.6063461303711,53.4446182250977,35.9827613830566,144.239868164062,157.465866088867,143.904022216797,12.3298845291138,2100.98266601562,3903.22314453125,4260.5048828125,0.0225922241806984,0.0163149368017912,0.0155913168564439,17.1597646464504,16.487262543673,16.3921683374496,0.0245351549237967,0.0177180208265781,0.0169321708381176,67108864,2460381.32076979,16,1569.89086914062,1243.41162109375,4212.78173828125,16.404398717671,0.0170417372137308,1.0945873260498,63.7258949279785,124.266370044327,4.73776887456955,21.8510046699581,16.0421572611915,-0.00487823153924973
