Field_Number,Success,Num_Calibrators,Time_Seconds
1,1,202,15.74386
2,1,181,14.224243
3,1,179,14.290308
4,1,176,13.776524
5,1,166,13.940379
6,1,192,13.981616
7,1,231,14.989259
8,1,274,15.480497
9,1,235,14.953117
10,1,194,13.951937
11,1,187,13.958048
12,1,200,14.08103
13,1,248,15.210289
14,1,245,15.39157
15,1,236,14.816374
16,1,183,13.848791
17,1,156,13.562439
18,1,192,14.456883
19,1,253,15.526866
20,1,238,15.287339
21,1,244,15.106574
22,1,231,14.907851
23,1,197,14.152766
24,1,203,14.110885
