XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,JD,CropID,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,DIFF_MAG
526,7,526.012451171875,7.45228624343872,1.1168600320816,0.996412038803101,0.0506568029522896,64.2227020263672,153.199356079102,163.229843139648,142.294097900391,104.065528869629,146.115051269531,168.032104492188,146.115051269531,365.865814208984,5745.4072265625,10695.2724609375,11785.69921875,0.0650319680571556,0.0355485416948795,0.032380998134613,16.0675189920249,15.3928414245654,15.2874326745537,0.0706247165799141,0.0386057160794735,0.0351657643914223,75497476,2460381.32076979,16,525.993225097656,7.42819595336914,11564.6904296875,15.3079860589796,0.010171739384532,1.3156977891922,106.766403198242,123.903364281188,4.30477553883049,0.00669825988055878
535,13,535.122253417969,13.4778261184692,1.11115765571594,0.964346766471863,0.0289831068366766,202.807723999023,482.427124023438,511.849487304688,443.041290283203,302.901489257812,146.109649658203,167.021759033203,146.109649658203,107.597702026367,18143.9296875,33211.07421875,36318.80859375,0.00950171053409576,0.00637234887108207,0.00602585077285767,14.8189926768686,14.1626137567933,14.0654920812752,0.0103188576176763,0.00692037073895335,0.00654407404363155,75497476,2460381.32076979,16,535.131774902344,13.4851732254028,36450.16015625,14.0615728280836,0.00570128671824932,2.24383854866028,190.483322143555,123.906551333012,4.30690823957952,-0.0114681397964868
1345,10,1345.41162109375,9.86604595184326,1.07376575469971,1.05765163898468,0.0727557614445686,86.7796020507812,200.920837402344,212.283401489258,184.197479248047,125.383850097656,145.045700073242,160.161895751953,145.045700073242,42.1755294799805,7215.5361328125,13576.6845703125,14911.5185546875,0.0131436306983232,0.00912720244377851,0.00866383407264948,15.8201495302881,15.1338367396203,15.0320163776745,0.0142739824950695,0.00991214159876108,0.0094089237973094,75497472,2460381.32076979,16,1345.41467285156,9.87668991088867,14584.5634765625,15.05608824709,0.00904179643839598,3.938152551651,120.108871459961,124.190001224852,4.30717207146453,0.01018199332246
844,36,844.039184570312,36.3788948059082,1.12706065177917,0.971715867519379,0.0320314057171345,72.3683929443359,177.874465942383,189.409515380859,164.024063110352,111.322639465332,145.010757446289,155.157272338867,147.094009399414,62.0156478881836,6317.88916015625,11695.4677734375,12752.541015625,0.015957199037075,0.0106592727825046,0.0101027004420757,15.964391032352,15.2957770662792,15.2018292364819,0.0173295177519321,0.0115759698674083,0.0109715331345797,67108864,2460381.32076979,16,844.038757324219,36.3846702575684,12837.59765625,15.1946123025709,0.0096426559612155,1.61697685718536,112.624572753906,124.014585193004,4.31550822393066,0.017039988491013
1198,45,1197.68188476562,45.4693260192871,1.09003484249115,1.03353083133698,0.0798617824912071,59.5369300842285,145.391235351562,156.936935424805,137.905822753906,94.1370010375977,145.435363769531,158.515411376953,144.264602661133,12.1479711532593,5412.2705078125,10188.994140625,11310.232421875,0.0137769095599651,0.00997830647975206,0.00946409720927477,16.1323722918547,15.4454927740066,15.3321422331105,0.0149617241695523,0.0108364410698414,0.0102780098095536,67108996,2460381.32076979,16,1197.71179199219,45.4641532897949,10975.2685546875,15.3647830865675,0.0104408543556929,1.87842106819153,104.014472961426,124.138284849904,4.31933056779194,-0.00454488786449109
1601,47,1601.07092285156,46.5055503845215,1.1138231754303,1.05832433700562,0.0913254097104073,886.642578125,1987.47387695312,2120.19799804688,1865.39587402344,1280.74536132812,144.964553833008,150.472702026367,148.23486328125,12.4997053146362,69406.1640625,133892.390625,147991.21875,0.00380004942417145,0.00273448345251381,0.00260082515887916,13.3623259592354,12.6489313259311,12.5402311988045,0.00412685377523303,0.00296964892186224,0.00282449601218104,67108864,2460381.32076979,16,1601.07019042969,46.5022354125977,142361.375,12.5823419473463,0.00287980539724231,52.1274909973145,377.108825683594,124.279343351739,4.32038858324881,0.00885141844738064
1174,61,1174.28344726562,60.6777648925781,1.08779668807983,1.03582441806793,0.0523821152746677,89.9507598876953,200.896057128906,212.190643310547,183.914505004883,124.929878234863,145.506683349609,160.495498657227,144.81608581543,12.8176422119141,7225.240234375,13542.4091796875,15007.693359375,0.0118975127115846,0.00864511076360941,0.00820743106305599,15.8186903157259,15.136581230442,15.0250361920694,0.012920699082315,0.00938859023153782,0.00891327019780874,67108868,2460381.32076979,16,1174.2880859375,60.6837196350098,14610.7119140625,15.0541437051588,0.00903371628373861,1.86651372909546,120.216300964355,124.130067100088,4.32459992090487,0.00318337428072241
469,74,469.520080566406,73.8951873779297,1.11024594306946,0.986341536045074,0.0247074048966169,72.0347137451172,152.673110961914,159.909652709961,138.043197631836,93.8972396850586,146.149322509766,174.431015014648,145.154159545898,13.181736946106,5702.43994140625,10661.2265625,11849.732421875,0.0134427305310965,0.00976353231817484,0.00925351493060589,16.0756692324408,15.3963031244613,15.2815496987658,0.0145988054573536,0.0106031959876418,0.0100493170320988,0,2460381.32076979,16,469.51416015625,73.9079055786133,11605.5146484375,15.3041599176222,0.0101563353091478,1.58279359340668,106.928329467773,123.883490034659,4.32786475461736,-0.0284301234296699
1593,97,1592.65808105469,96.9661407470703,1.11110734939575,1.08977913856506,0.0991670861840248,73.4900665283203,180.161346435547,194.227981567383,170.974334716797,117.595863342285,144.964538574219,151.335998535156,146.150268554688,12.5640687942505,6256.2158203125,12217.4296875,13317.6640625,0.0128013323992491,0.00910537410527468,0.00871655158698559,15.9750417325997,15.2483714376689,15.1547509204839,0.0139022469520569,0.00988843664526939,0.00946617498993874,67108868,2460381.32076979,16,1592.6044921875,96.9741668701172,12864.857421875,15.1923091790968,0.00963089894503355,5.75519323348999,112.762054443359,124.276301362187,4.33798636411451,0.011721986951436
975,140,974.770446777344,139.552032470703,1.09428632259369,0.987326920032501,0.0382442697882652,204.912826538086,464.497039794922,489.812255859375,423.717895507812,286.752563476562,145.188629150391,160.985504150391,145.051605224609,11.945671081543,16955.8671875,31224.56640625,34254.2421875,0.00771187292411923,0.00567207438871264,0.00541434017941356,14.8925210465352,14.2295800237203,14.129035154793,0.00837509427219629,0.00615987274795771,0.00587997352704406,4,2460381.32076979,16,974.781005859375,139.544250488281,34186.41015625,14.131187238484,0.00588739570230246,2.36393117904663,184.461868286133,124.060150573332,4.35175604884014,-0.0146975177709274
