=== PYTHON ATMOSPHERIC TRANSMISSION ===

Test conditions:
  Zenith angle: 0.0 deg
  Pressure: 1013.25 mbar
  Temperature: 15.0 C
  Ozone: 300 DU
  Water vapor: 1.0 cm
  Aerosol AOD: 0.084
  CO2: 395 ppm

Calculating components...

# Wavelength(nm), Trans_Total, Trans_Ray, Trans_Oz, Trans_Water, Trans_Aer, Trans_UMG
900.0, 0.820517, 0.986891, 0.999481, 0.882436, 0.942673, 0.999999
908.0, 0.765483, 0.987347, 0.999752, 0.822388, 0.942968, 1.000000
916.0, 0.711283, 0.987784, 0.999871, 0.763495, 0.943258, 1.000000
924.0, 0.850297, 0.988202, 0.999891, 0.912032, 0.943545, 1.000000
932.0, 0.473737, 0.988603, 0.999876, 0.507781, 0.943828, 1.000000
940.0, 0.668373, 0.988986, 0.999743, 0.716009, 0.944107, 1.000000
948.0, 0.453306, 0.989354, 0.999731, 0.485298, 0.944383, 1.000000
956.0, 0.526971, 0.989707, 0.999896, 0.563706, 0.944655, 1.000000
964.0, 0.665771, 0.990045, 0.999943, 0.711703, 0.944923, 1.000000
972.0, 0.863116, 0.990369, 0.999983, 0.922065, 0.945188, 1.000000
980.0, 0.810104, 0.990680, 0.999986, 0.864918, 0.945449, 1.000000
988.0, 0.921587, 0.990979, 0.999915, 0.983450, 0.945707, 1.000000
996.0, 0.935272, 0.991266, 0.999859, 0.997552, 0.945962, 1.000000
1004.0, 0.933349, 0.991541, 0.999959, 0.994860, 0.946214, 1.000000
1012.0, 0.934564, 0.991806, 0.999978, 0.995828, 0.946462, 0.999779
1020.0, 0.937255, 0.992061, 0.999985, 0.998548, 0.946708, 0.999403
1028.0, 0.936746, 0.992306, 0.999989, 0.998197, 0.946950, 0.998707
1036.0, 0.937426, 0.992541, 0.999986, 0.999707, 0.947190, 0.997436
1044.0, 0.936204, 0.992768, 0.999970, 1.000000, 0.947427, 0.995384
1052.0, 0.932947, 0.992986, 0.999971, 0.999972, 0.947660, 0.991484
1060.0, 0.928131, 0.993195, 0.999985, 0.999947, 0.947891, 0.985929
1068.0, 0.924926, 0.993397, 0.999986, 0.998471, 0.948120, 0.983539
1076.0, 0.931692, 0.993592, 0.999992, 0.997504, 0.948346, 0.991258
1084.0, 0.911996, 0.993780, 0.999994, 0.972122, 0.948569, 0.995213
1092.0, 0.927478, 0.993960, 1.000000, 0.986019, 0.948789, 0.997423
1100.0, 0.839621, 0.994134, 1.000000, 0.891151, 0.949007, 0.998659

=== SUMMARY ===
Mean total transmission: 0.7740
Min total transmission: 0.0152
Max total transmission: 0.9374

Mean UV transmission (300-400 nm): 0.4163
Mean visible transmission (400-700 nm): 0.7951
Mean NIR transmission (700-1100 nm): 0.8513
