Gaia_RA,Gaia_Dec,LAST_RA,LAST_Dec,LAST_X,LAST_Y,LAST_idx,Var1
336.699615478516,75.9692764282227,336.699678056591,75.9693167673983,164.520950317383,66.7530899047852,13,45515.7702809114
337.282836914062,75.9734878540039,337.282761192931,75.9735038943996,566.650390625,24.7446346282959,23,122357.368915166
336.488311767578,75.9749298095703,336.488241550911,75.9749309658136,21.6380939483643,103.150482177734,28,9635.25058248378
337.517364501953,75.9770736694336,337.517442180862,75.9770893297515,729.273132324219,14.3751153945923,34,11460.4799813509
337.00927734375,75.9810638427734,337.009323354276,75.9810808424413,381.578094482422,70.9267501831055,43,14609.8282326979
336.828979492188,75.9862518310547,336.828807209826,75.9862557401885,259.646606445312,102.377952575684,52,80749.5041541926
336.72265625,75.9883422851562,336.722654573332,75.9883594467615,187.651550292969,118.392417907715,57,12637.8766680534
337.139221191406,75.9896621704102,337.139220610474,75.9896728241793,473.927276611328,83.3837509155273,62,18577.9069274849
336.678039550781,75.9901504516602,336.677935187849,75.9901612033764,157.690246582031,127.766456604004,64,60606.4040348484
337.257202148438,75.9904479980469,337.257380094326,75.9904322725564,555.318420410156,74.9270553588867,65,57727.0558388498
336.871215820312,75.9917526245117,336.871167135247,75.9917698220993,290.798187255859,113.994728088379,71,17919.741301337
337.673156738281,75.992073059082,337.673209964502,75.9920909328831,841.534484863281,43.6269798278809,74,20308.6553068938
338.098114013672,75.9940719604492,338.098091821789,75.9940746331671,1134.30749511719,14.6065216064453,80,26456.4028323675
336.667297363281,75.9969940185547,336.66716668552,75.9969686411912,152.956237792969,148.045715332031,87,23386.9875832144
338.392120361328,75.9978485107422,338.391916426087,75.9979243326365,1337.65698242188,2.83650970458984,89,69550.0729204984
337.981292724609,76.0003051757812,337.981437856706,76.0003182028597,1056.12475585938,41.6069946289062,97,17548.8664141387
337.060974121094,76.0016860961914,337.060898368318,76.0016937912651,424.626342773438,124.523529052734,103,17659.7026083343
337.760498046875,76.0071334838867,337.760533598578,76.0071373850926,906.630981445312,78.9766464233398,122,111415.92474778
337.715240478516,76.0102157592773,337.71528578582,76.0102235701306,876.611572265625,91.488899230957,135,19225.8854249721
337.332305908203,76.0130081176758,337.332278173489,76.0130189120446,614.826782226562,132.24885559082,144,10671.6490163736
338.395294189453,76.0152587890625,338.395372088711,76.0152628189557,1345.37036132812,51.7822723388672,151,13023.7959884423
337.880462646484,76.0200500488281,337.880412072312,76.0200474083388,993.244079589844,105.721328735352,171,49940.9474386774
338.584899902344,76.021369934082,338.584907077779,76.021336965896,1477.474609375,54.9642486572266,181,920658.097173583
