XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID,DIFF_MAG,GAIA_RA,GAIA_DEC,LAST_IDX
1120,78,1120.11108398438,78.3889312744141,1.31290411949158,1.12272012233734,0.128074377775192,93.6933746337891,280.217956542969,322.660980224609,297.154937744141,206.14567565918,190.748062133789,9.16505718231201,190.739395141602,2.84002208709717,2504.12426757812,5344.5634765625,5879.5908203125,0.0200156792998314,0.0136889880523086,0.0130504090338945,15.4554104159785,15.3419309207217,15.3155519161962,0.021737027913332,0.0148662412539124,0.0141727440059185,738197508,1120.22119140625,78.4556884765625,5266.59765625,15.4060395431556,0.0149776032194495,3.04516053199768,72.5082626342773,340.101030943985,76.6010370477496,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.0183431047144915,340.101013183594,76.6010437011719,28
578,129,577.425964355469,128.743667602539,1.25056827068329,1.0447952747345,0.0840290561318398,560.094177246094,1170.92346191406,1230.56665039062,1080.14868164062,743.501403808594,190.333969116211,9.23349761962891,190.919128417969,2.84192728996277,9791.4111328125,19652.4765625,21391.08984375,0.0101101221516728,0.00713477982208133,0.00683857314288616,13.9749370538281,13.9281683371132,13.9133374237067,0.0109795928001404,0.00774837099015713,0.00742669031023979,671088644,577.469787597656,128.769027709961,20133.0546875,13.9500907135047,0.00765551812946796,6.70439338684082,141.858459472656,339.279302671104,76.6021125577903,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.00978493180780508,339.279235839844,76.6021118164062,29
378,151,378.302307128906,150.642593383789,1.22809839248657,1.03681862354279,0.0872494727373123,159.845916748047,412.779724121094,451.606811523438,397.974914550781,268.724151611328,190.362854003906,9.14348983764648,190.48567199707,2.6675660610199,3603.76611328125,7110.75244140625,7627.400390625,0.0166743937879801,0.0118647729977965,0.0114555042237043,15.060158704962,15.0319226382783,15.0329783250755,0.0181083921343088,0.0128851430490613,0.0124406777322292,134217732,378.342498779297,150.665237426758,7344.94189453125,15.04489356995,0.0126796076074243,1.52076768875122,85.6493377685547,338.977291864632,76.6030275053137,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.0152213733920944,338.977447509766,76.6030349731445,30
202,172,201.536102294922,172.410751342773,1.20830810070038,1.01422643661499,0.0766285955905914,316.008270263672,743.644287109375,804.181396484375,710.82666015625,484.808166503906,190.195098876953,8.89886093139648,190.561248779297,3.06007027626038,6487.02783203125,12565.220703125,13597.73828125,0.0124248266220093,0.00892435293644667,0.0085785947740078,14.4219358527515,14.4137862475558,14.4052530047812,0.0134933618828654,0.00969184748828411,0.00931635405868292,134217732,201.55891418457,172.411102294922,13124.509765625,14.4146559906043,0.00948277488350868,2.54117918014526,114.5234375,338.708778045122,76.6043376012311,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.00878563701230654,338.708801269531,76.6043548583984,32
1093,93,1093.05712890625,93.2734680175781,1.31021773815155,1.11871767044067,0.116624161601067,110.298942565918,311.963836669922,354.229339599609,323.621124267578,223.404830932617,190.703262329102,9.11824989318848,191.298294067383,19.1465492248535,2703.05615234375,5760.9306640625,6310.0791015625,0.0204969439655542,0.0135878184810281,0.0129492655396461,15.3724124638611,15.260479904015,15.2388326695594,0.0222596805542707,0.0147563712671399,0.0140629019588232,134217732,1093.18200683594,93.3419418334961,5698.18994140625,15.3205226135291,0.0143982116132975,2.61540627479553,75.4260330200195,340.058606920794,76.6054677744663,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.0206599822041368,340.058532714844,76.60546875,33
1379,80,1378.75439453125,80.0612640380859,1.31925475597382,1.14226973056793,0.13769443333149,452.949188232422,1141.08142089844,1263.89294433594,1143.81628417969,790.743286132812,190.929336547852,9.3155403137207,191.828582763672,8.42856216430664,9570.380859375,20800.71875,22779.4296875,0.0102598574012518,0.00694546243175864,0.00663597509264946,13.9997272169283,13.8665157002521,13.8450625865593,0.0111422054469585,0.00754277221858501,0.00720666907727718,671089676,1378.86706542969,80.1477966308594,20281.64453125,13.9421055984534,0.00762742571532726,17.342845916748,142.380935668945,340.489709612526,76.6085238470681,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.019909378619665,340.489868164062,76.608528137207,34
1189,95,1189.00671386719,94.9858169555664,1.32924163341522,1.1246429681778,0.132687583565712,370.03369140625,990.97216796875,1104.65539550781,1000.03039550781,691.816162109375,190.750091552734,9.24640655517578,191.444244384766,3.43641328811646,8360.9365234375,17971.716796875,19841.9296875,0.0109440740197897,0.00746187241747975,0.00710128946229815,14.1464129504522,14.0252376384709,13.9949599369806,0.0118852639570832,0.00810359325259924,0.00771200051531196,134217860,1189.15661621094,95.0837936401367,17647.35546875,14.0931647491492,0.00817718356847763,10.6870899200439,132.808563232422,340.202691859071,76.6087290237637,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,-0.000625527885145642,340.202697753906,76.6087265014648,35
1066,106,1065.91711425781,106.380561828613,1.29576528072357,1.09944665431976,0.144532859325409,135.515350341797,377.312347412109,426.389099121094,387.6015625,267.004516601562,190.657760620117,9.0700855255127,190.901168823242,3.0500705242157,3300.22680664062,6907.5224609375,7549.3056640625,0.0174316838383675,0.012040127068758,0.0115163242444396,15.1556907129548,15.0634057702671,15.0441521617638,0.0189308095723391,0.0130755780264735,0.0125067280605435,671088640,1066.05334472656,106.448677062988,6905.142578125,15.1119321060218,0.0130776148289442,2.92886590957642,83.0426635742188,340.016237378464,76.6092687663762,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.0154230884975842,340.016296386719,76.6092834472656,36
1678,66,1677.67114257812,65.7388229370117,1.36520719528198,1.17086887359619,0.138836264610291,103.319480895996,244.693313598633,268.468505859375,244.569534301758,170.469284057617,191.251617431641,9.16233253479004,191.602020263672,3.71432685852051,1988.93078613281,4472.3310546875,4897.4873046875,0.0225004497915506,0.0149762080982327,0.0143094910308719,15.7055008318283,15.5353766437078,15.5139863630572,0.0244354885071516,0.0162641610950232,0.0155401071533561,201326596,1677.78173828125,65.8280715942383,4278.87548828125,15.6315406036414,0.0166199412196875,5.46001482009888,65.3431930541992,340.940992807713,76.6107452224343,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.024238600509904,340.941070556641,76.6107559204102,38
790,148,789.787353515625,148.405212402344,1.26814091205597,1.07356011867523,0.095004715025425,189.440338134766,505.087005615234,563.511901855469,507.301696777344,347.597381591797,190.523132324219,9.082275390625,190.499084472656,2.7077739238739,4429.55078125,9092.958984375,9879.46875,0.0150376269593835,0.0104911336675286,0.0100645488128066,14.8361510140906,14.7649484640193,14.7520857148149,0.0163308624178171,0.0113933710381389,0.0109301004558802,134217732,789.8408203125,148.443786621094,9146.8173828125,14.8066886138953,0.0113608362153172,4.00826644897461,95.591552734375,339.595647544274,76.6157178901621,-0.786869423893826,-0.0772081480908859,-0.0290557376395615,71,20,NaN,2460112.43744712,8,0.00447731442990191,339.595733642578,76.6157150268555,40
