FileIndex,Filename,Timestamp,Success,TotalStars,ProcessingTime_min
1,LAST.01.09.01_20250628.184459.657_clear_1678c.mat,20250628184459657,1,39475,1.88242543333333
2,LAST.01.09.01_20250629.184813.610_clear_1678c.mat,20250629184813610,1,38187,1.83146156666667
3,LAST.01.09.01_20250630.184520.118_clear_1678c.mat,20250630184520118,1,33301,1.79918133333333
4,LAST.01.09.01_20250702.194657.538_clear_1678c.mat,20250702194657538,1,32836,1.76347031666667
5,LAST.01.09.01_20250703.235606.481_clear_1678c.mat,20250703235606481,1,34365,1.74883048333333
